Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,350,161,189,46.0%,415-485,46.1%,4106-4519,47.6%,75-61,55.1%,334,71.7%,23.6%,4.8%,5.8%,57.2%,68.3%,47.7%,59.5%,37.5%,48.7%,0.93
Clay,424,241,183,56.8%,581-479,54.8%,5145-4949,51.0%,76-54,58.5%,409,71.2%,30.1%,3.3%,4.4%,60.4%,66.4%,48.6%,59.3%,40.8%,50.1%,1.00
Grass,51,25,26,49.0%,87-90,49.2%,859-897,48.9%,16-17,48.5%,51,76.7%,21.7%,5.3%,5.1%,60.6%,70.3%,49.2%,62.0%,36.4%,49.2%,0.96
Carpet,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,4.3%,0.0%,65.2%,53.3%,56.3%,54.3%,34.4%,43.0%,0.75
Grand Slams,134,71,63,53.0%,260-239,52.1%,2369-2397,49.7%,33-27,55.0%,133,74.1%,25.3%,4.9%,5.0%,59.6%,68.6%,49.1%,60.7%,38.3%,49.7%,0.98
Masters,211,98,113,46.4%,224-263,46.0%,2236-2447,47.7%,36-31,53.7%,208,70.3%,25.5%,3.8%,5.3%,58.1%,67.1%,47.6%,58.9%,38.5%,48.8%,0.94
Other Tours,450,236,214,52.4%,536-511,51.2%,4969-5063,49.5%,91-65,58.3%,445,71.4%,27.5%,3.8%,4.9%,59.2%,67.0%,48.3%,59.4%,39.5%,49.5%,0.97
Best of 5,161,90,71,55.9%,317-279,53.2%,2855-2824,50.3%,39-34,53.4%,140,73.9%,26.1%,4.9%,5.1%,59.6%,68.7%,48.6%,60.6%,38.8%,49.8%,0.98
Best of 3,665,337,328,50.7%,766-777,49.6%,7260-7553,49.0%,128-98,56.6%,655,71.1%,26.8%,3.8%,5.0%,58.8%,67.1%,48.2%,59.3%,39.1%,49.3%,0.96
Finals,20,9,11,45.0%,22-26,45.8%,208-230,47.5%,1-1,50.0%,20,66.8%,28.3%,3.1%,3.9%,61.6%,63.9%,48.0%,57.8%,40.2%,48.9%,0.95
Semi-finals,43,20,23,46.5%,44-53,45.4%,421-475,47.0%,9-2,81.8%,42,68.9%,24.8%,3.5%,4.7%,58.8%,66.0%,46.7%,58.0%,38.0%,48.2%,0.91
Quarter-finals,76,42,34,55.3%,93-82,53.1%,839-823,50.5%,11-18,37.9%,75,73.2%,28.3%,3.6%,4.1%,59.8%,66.4%,50.1%,59.9%,39.8%,49.9%,0.99
vs Righties,697,363,334,52.1%,910-886,50.7%,8485-8726,49.3%,142-105,57.5%,667,71.8%,26.5%,4.1%,5.1%,58.7%,67.6%,48.3%,59.6%,39.0%,49.4%,0.96
vs Lefties,127,63,64,49.6%,170-169,50.1%,1611-1632,49.7%,24-27,47.1%,126,72.3%,27.2%,4.2%,4.8%,60.8%,67.2%,48.3%,59.8%,39.5%,49.7%,0.98
vs Top 10,95,17,78,17.9%,68-176,27.9%,940-1336,41.3%,12-17,41.4%,88,64.6%,18.4%,3.1%,4.8%,59.9%,63.5%,45.7%,56.4%,35.1%,46.1%,0.80
