Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Wimbledon R128,L vs Alcaraz,38% (10/26),50% (5/10),1/6,36% (9/25),22% (2/9),4/5,1/1,2/3,0/0,1/1
2024 US Open R128,L vs Machac,14% (2/14),50% (1/2),0/4,43% (6/14),0% (0/6),1/1,0/0,1/3,0/0,0/1
2024 Gstaad QF,L vs Tsitsipas,20% (2/10),100% (2/2),1/3,44% (4/9),0% (0/4),1/2,0/0,1/2,0/0,1/1
2024 Wimbledon R32,L vs Bautista Agut,37% (10/27),60% (6/10),3/5,36% (10/28),50% (5/10),5/6,2/2,5/5,0/0,0/0
2024 Wimbledon R64,W vs Ruud,33% (7/21),71% (5/7),0/2,32% (7/22),71% (5/7),4/5,3/5,2/2,1/3,0/0
2024 Wimbledon R128,W vs Van Assche,50% (7/14),86% (6/7),0/1,50% (7/14),86% (6/7),5/5,2/2,1/1,1/1,0/0
2024 Rome R64,L vs Fritz,10% (1/10),0% (0/1),0/2,33% (3/9),33% (1/3),0/0,0/0,0/0,0/0,0/0
2023 Rome R32,L vs Rune,11% (1/9),100% (1/1),0/4,56% (5/9),20% (1/5),1/1,0/0,3/3,0/0,1/1
2023 Rome R128,W vs Murray,40% (6/15),83% (5/6),2/3,40% (6/15),33% (2/6),3/5,2/2,1/2,1/1,0/0
2022 US Open R64,L vs Nadal,41% (7/17),86% (6/7),3/7,69% (11/16),18% (2/11),3/6,1/1,0/2,0/0,0/0
2022 US Open R128,W vs Karatsev,35% (8/23),88% (7/8),1/4,39% (9/23),33% (3/9),4/5,1/2,2/4,0/0,0/0
2022 Canada R64,L vs Rune,27% (3/11),0% (0/3),0/2,50% (5/10),60% (3/5),0/0,0/0,1/1,0/0,0/0
2022 Wimbledon R128,L vs Griekspoor,23% (5/22),40% (2/5),0/3,19% (4/21),0% (0/4),1/2,1/1,3/4,0/0,0/0
2022 Rome R64,W vs Thiem,18% (2/11),100% (2/2),0/1,36% (4/11),75% (3/4),2/2,1/2,1/1,0/1,0/0
2022 Belgrade  SF,L vs Rublev,13% (1/8),0% (0/1),0/4,63% (5/8),20% (1/5),0/0,0/0,1/1,0/0,0/0
2022 Miami R32,L vs Kyrgios,0% (0/9),- (0/0),0/3,33% (3/9),0% (0/3),0/0,0/0,0/0,0/0,0/0
2022 Rio de Janeiro SF,L vs Alcaraz,20% (2/10),50% (1/2),0/4,70% (7/10),43% (3/7),1/1,0/0,0/0,0/0,0/0
2022 Australian Open R128,L vs Griekspoor,7% (1/14),0% (0/1),0/4,54% (7/13),43% (3/7),0/0,0/0,1/1,0/0,0/0
2022 Sydney R16,L vs Nakashima,17% (2/12),100% (2/2),0/2,42% (5/12),60% (3/5),1/2,0/0,2/2,0/0,0/0
2021 US Open R128,L vs Pospisil,30% (7/23),71% (5/7),0/4,32% (7/22),29% (2/7),4/4,1/1,0/1,0/0,0/0
2025 (1 matches),,38.5%,50.0%,16.7%,36.0%,22.2%,80.0%,100.0%,66.7%,-,100.0%
2024 (6 matches),,30.2%,69.0%,23.5%,38.5%,45.9%,84.2%,77.8%,76.9%,50.0%,50.0%
2023 (2 matches),,29.2%,85.7%,28.6%,45.8%,27.3%,66.7%,100.0%,80.0%,100.0%,100.0%
2022 (10 matches),,22.6%,64.5%,11.8%,45.1%,35.0%,66.7%,66.7%,68.8%,0.0%,-
2021 (12 matches),,36.1%,68.9%,5.7%,33.9%,33.3%,83.8%,82.4%,80.0%,71.4%,100.0%
Career (465 matches),,38.1%,71.5%,24.1%,37.6%,30.8%,78.0%,80.0%,68.9%,83.5%,64.1%
