Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2013,2,1,1,50.0%,2-2,50.0%,15-16,48.4%,0-0,-,2,-,-,1.0%,2.0%,66.7%,59.1%,57.6%,58.6%,41.4%,50.5%,1.00,R16 (Acapulco)
2012,18,5,13,27.8%,16-27,37.2%,176-217,44.8%,0-0,-,16,-,-,3.1%,5.1%,58.3%,59.6%,42.8%,52.6%,40.4%,46.7%,0.85,QF (Seoul)
2011,44,27,17,61.4%,59-39,60.2%,493-430,53.4%,9-4,69.2%,37,-,-,3.4%,4.6%,54.6%,66.5%,46.0%,57.2%,44.4%,50.6%,1.04,W (2x)
2010,42,25,17,59.5%,55-41,57.3%,480-432,52.6%,7-6,53.8%,37,-,-,6.1%,3.9%,54.3%,68.8%,46.6%,58.6%,43.9%,51.1%,1.06,W (Rome)
2009,49,30,19,61.2%,71-49,59.2%,588-542,52.0%,6-4,60.0%,42,-,-,4.8%,3.3%,53.0%,66.8%,47.4%,57.7%,44.6%,51.0%,1.05,W (2x)
2008,16,7,9,43.8%,17-20,45.9%,163-164,49.8%,1-2,33.3%,13,-,-,4.0%,2.9%,55.6%,63.9%,47.9%,56.8%,44.0%,50.4%,1.02,F (Barcelona)
2007,4,2,2,50.0%,5-5,50.0%,46-49,48.4%,1-1,50.0%,3,-,-,3.5%,5.1%,59.9%,55.8%,43.7%,51.0%,49.8%,50.4%,1.02,QF (Bad Gastein)
2006,11,5,6,45.5%,12-14,46.2%,119-118,50.2%,1-2,33.3%,1,-,-,0.0%,3.8%,55.8%,31.0%,39.1%,34.6%,40.0%,37.3%,0.61,QF (2x)
2002,4,0,4,0.0%,2-8,20.0%,36-56,39.1%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2001,26,10,16,38.5%,25-39,39.1%,278-338,45.1%,1-2,33.3%,0,,,,,,,,,,,,SF (Madrid)
Career,216,112,104,51.9%,264-244,52.0%,2394-2362,50.3%,26-21,55.3%,151,-,-,4.4%,3.9%,54.7%,65.6%,46.4%,56.9%,44.0%,50.4%,1.02,
