Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,24,16,8,66.7%,4,2,2,50.0%,1985,1994,QF,9,1.12,3.4%,2.6%,61.2%,68.8%,49.7%,61.4%,43.1%,51.9%,55.2%
Roland Garros,7,Clay,21,14,7,66.7%,8,4,4,50.0%,1986,1993,SF,4,0.97,1.8%,1.8%,70.5%,65.4%,44.9%,59.4%,39.6%,69.4%,50.0%
Wimbledon,6,Grass,15,9,6,60.0%,11,7,4,63.6%,1986,1993,R32,1,1.15,3.6%,5.3%,61.5%,72.1%,46.2%,62.1%,43.5%,44.4%,30.0%
US Open,9,Hard,20,11,9,55.0%,9,6,3,66.7%,1986,1994,R16,7,0.98,3.2%,2.4%,59.4%,68.4%,46.9%,59.7%,39.3%,65.0%,45.5%
Davis Cup,3,,9,7,2,77.8%,4,2,2,50.0%,1989,1991,,0,,,,,,,,,,
Munich,9,Clay,21,12,9,57.1%,3,1,2,33.3%,1986,1995,F,4,0.77,0.7%,2.0%,71.9%,55.7%,54.2%,55.3%,34.5%,59.0%,19.0%
Rotterdam,8,Carpet,19,11,8,57.9%,5,4,1,80.0%,1987,1994,F,6,0.96,4.0%,1.4%,62.9%,59.6%,47.8%,55.2%,42.8%,56.9%,46.4%
Toulouse,8,Hard,17,10,7,58.8%,7,3,4,42.9%,1984,1992,W,4,1.01,5.9%,1.4%,68.8%,62.6%,48.9%,58.3%,41.9%,66.7%,39.3%
Basel,6,Hard,13,7,6,53.8%,4,2,2,50.0%,1986,1994,SF,4,1.09,5.4%,2.2%,60.7%,73.7%,51.2%,64.9%,38.4%,71.4%,42.3%
Brussels,6,Carpet,11,5,6,45.5%,4,3,1,75.0%,1986,1992,SF,2,0.56,2.9%,5.8%,62.5%,53.8%,35.9%,47.1%,29.8%,30.8%,100.0%
Bastad,6,Clay,9,3,6,33.3%,2,1,1,50.0%,1984,1993,R16,2,0.81,4.7%,2.3%,65.9%,57.6%,38.6%,51.2%,39.5%,44.4%,36.4%
