Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1995,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,70.0%,0.0%,0.0%,1.3%,74.7%,51.8%,73.7%,57.3%,28.3%,45.3%,0.66,R32 (Munich)
1994,26,9,17,34.6%,28-39,41.8%,293-339,46.4%,4-2,66.7%,26,67.4%,25.3%,3.8%,3.4%,58.6%,64.2%,48.0%,57.5%,37.8%,47.8%,0.89,QF (2x)
1993,62,34,28,54.8%,88-73,54.7%,825-736,52.9%,9-15,37.5%,60,77.6%,29.0%,3.5%,2.7%,63.2%,69.5%,49.6%,62.2%,40.9%,51.6%,1.08,F (2x)
1992,39,16,23,41.0%,45-54,45.5%,451-479,48.5%,5-4,55.6%,39,68.7%,27.5%,2.9%,1.8%,69.9%,62.1%,47.1%,57.6%,41.1%,49.6%,0.97,QF (4x)
1991,46,24,22,52.2%,58-59,49.6%,554-546,50.4%,7-7,50.0%,44,73.6%,28.3%,4.3%,2.3%,64.8%,66.3%,48.8%,60.2%,40.4%,50.2%,1.01,W (Copenhagen)
1990,66,45,21,68.2%,103-61,62.8%,810-669,54.8%,14-9,60.9%,0,,,,,,,,,,,,W (Toulouse)
1989,49,29,20,59.2%,64-48,57.1%,530-473,52.8%,10-8,55.6%,0,,,,,,,,,,,,SF (Lyon)
1988,60,40,20,66.7%,93-51,64.6%,729-559,56.6%,7-8,46.7%,0,,,,,,,,,,,,W (Metz)
1987,43,24,19,55.8%,57-53,51.8%,507-483,51.2%,4-4,50.0%,0,,,,,,,,,,,,W (Vienna)
1986,53,34,19,64.2%,67-44,60.4%,546-456,54.5%,11-6,64.7%,0,,,,,,,,,,,,W (Cologne)
1985,13,3,10,23.1%,9-20,31.0%,106-149,41.6%,0-1,0.0%,0,,,,,,,,,,,,R16 (3x)
1984,4,2,2,50.0%,2-4,33.3%,24-33,42.1%,2-0,100.0%,0,,,,,,,,,,,,R16 (2x)
1983,3,1,2,33.3%,3-5,37.5%,32-39,45.1%,1-0,100.0%,0,,,,,,,,,,,,R16 (Vienna)
Career,465,261,204,56.1%,617-513,54.6%,5414-4973,52.1%,74-64,53.6%,170,72.9%,27.8%,3.6%,2.5%,64.6%,66.0%,48.7%,59.8%,40.3%,50.1%,1.00,
