Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Dallas F,W vs Fritz,76% (13/17),60% (3/5),2/4,1/3,71% (5/7),4/5,3/3,- (0/0),- (0/0)
2026 Australian Open QF,L vs Sinner,58% (11/19),0% (0/4),0/0,0/0,75% (9/12),1/4,1/2,- (0/0),- (0/0)
2025 Tour Finals RR,L vs Auger Aliassime,79% (15/19),67% (2/3),1/1,0/0,71% (5/7),5/7,2/3,63% (5/8),25% (2/8)
2025 Tour Finals RR,L vs Sinner,69% (9/13),0% (0/1),0/0,0/0,50% (2/4),2/4,1/2,60% (3/5),0% (0/5)
2025 Tour Finals RR,L vs Zverev,75% (9/12),- (0/0),0/3,0/0,60% (3/5),1/3,0/1,43% (3/7),43% (3/7)
2025 Paris QF,L vs Sinner,71% (5/7),100% (1/1),0/0,0/0,50% (4/8),1/3,0/1,- (0/0),- (0/0)
2025 Canada F,W vs Khachanov,67% (16/24),33% (2/6),2/6,1/2,83% (5/6),0/1,0/0,64% (7/11),45% (5/11)
2025 Canada SF,W vs Fritz,82% (9/11),30% (3/10),2/3,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2025 Canada QF,W vs De Minaur,60% (9/15),60% (3/5),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2025 Washington R32,W vs Mcdonald,83% (10/12),67% (2/3),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Wimbledon QF,L vs Sinner,78% (14/18),0% (0/2),0/0,0/0,60% (3/5),2/5,2/3,20% (1/5),25% (1/4)
2025 Mallorca R16,L vs Tien,53% (8/15),33% (2/6),0/1,0/0,57% (4/7),0/2,0/1,20% (1/5),25% (1/4)
2025 Stuttgart QF,W vs Lehecka,83% (10/12),50% (2/4),2/4,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Roland Garros R16,L vs Alcaraz,74% (17/23),22% (2/9),1/5,0/0,57% (4/7),2/5,1/2,67% (6/9),22% (2/9)
2025 Roland Garros R128,W vs Sonego,63% (19/30),67% (6/9),3/3,1/1,60% (6/10),1/3,0/0,- (0/0),- (0/0)
2025 Rome R64,L vs Munar,75% (3/4),0% (0/1),0/0,0/0,58% (7/12),1/3,1/2,- (0/0),- (0/0)
2025 Madrid R32,L vs Mensik,56% (5/9),- (0/0),0/0,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2025 Munich F,L vs Zverev,60% (6/10),- (0/0),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2025 Munich SF,W vs Cerundolo,61% (11/18),60% (3/5),2/6,1/2,20% (1/5),0/1,0/0,63% (5/8),50% (4/8)
2025 Miami R64,L vs Wong,71% (15/21),38% (3/8),1/3,0/0,67% (2/3),2/4,2/3,45% (5/11),27% (3/11)
2026 (2 matches),,66.7%,33.3%,50.0%,33.3%,73.7%,55.6%,80.0%,-,-
2025 (24 matches),,66.4%,39.3%,48.3%,66.7%,60.8%,45.6%,50.0%,53.7%,33.7%
2024 (20 matches),,69.9%,34.4%,49.1%,53.3%,67.4%,44.3%,45.5%,67.0%,22.0%
2023 (18 matches),,68.4%,44.1%,62.5%,75.0%,64.4%,45.5%,47.1%,70.3%,25.4%
2022 (3 matches),,65.2%,70.0%,46.2%,100.0%,58.3%,55.6%,66.7%,59.3%,42.9%
Career (68 matches),,67.9%,40.2%,52.2%,64.6%,64.7%,46.8%,50.7%,62.7%,29.2%
