Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1997 Roland Garros F,W vs Hingis,0.0%,-,9.5%,100.0%,15.4%,28.0%,50.0%,8.4%,16.7%,0.3%,0.0%,-22,-1
1995 Roland Garros R16,W vs Pierce,0.0%,-,9.8%,90.9%,21.7%,17.9%,0.0%,5.8%,12.5%,0.5%,100.0%,-21,-28
Career (2 matches),,0.0%,-,9.7%,95.7%,18.4%,22.6%,16.7%,7.4%,15.4%,0.4%,50.0%,-21,-13
