Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2004,321,74,,,,,,,,,,,,
2003,131,250,79,1757,92,1657,63,1715,61,1624,,,,
2002,32,1007,57,1831,56,1748,48,1780,45,1667,,,,
2001,44,700,40,1854,36,1788,42,1762,48,1652,,,,
2000,62,503,52,1830,48,1760,43,1775,,,,,,
1999,164,153,89,1742,81,1678,40,1813,,,,,,
1998,25,1135,21,1984,21,1906,14,1983,21,1769,,,,
1997,6,2867,14,2071,18,1944,10,2081,20,1806,,,,
1996,8,2647,9,2139,10,2045,8,2062,21,1781,,,,
1995,9,135,6,2152,4,2087,6,2040,24,1756,,,,
1994,13,84,14,2047,16,1934,12,1981,34,1734,,,,
1993,46,32,55,1850,72,1713,44,1789,,,,,,
1992,50,23,37,1882,38,1777,58,1740,,,,,,
