Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,133,68,65,51.1%,147-137,51.8%,1267-1234,50.7%,12-11,52.2%,0,,,,,,,,,,,
Clay,226,137,89,60.6%,297-208,58.8%,2463-2144,53.5%,8-10,44.4%,0,,,,,,,,,,,
Grass,272,171,101,62.9%,358-244,59.5%,3018-2535,54.3%,18-7,72.0%,0,,,,,,,,,,,
Carpet,283,153,130,54.1%,318-276,53.5%,2725-2595,51.2%,32-24,57.1%,0,,,,,,,,,,,
Grand Slams,100,56,44,56.0%,122-96,56.0%,1039-921,53.0%,4-4,50.0%,0,,,,,,,,,,,
Finals,41,13,28,31.7%,35-57,38.0%,380-465,45.0%,1-2,33.3%,0,,,,,,,,,,,
Semi-finals,83,39,44,47.0%,89-101,46.8%,844-893,48.6%,3-7,30.0%,0,,,,,,,,,,,
Quarter-finals,154,74,80,48.1%,164-173,48.7%,1544-1586,49.3%,12-13,48.0%,0,,,,,,,,,,,
vs Righties,540,264,276,48.9%,580-604,49.0%,5373-5533,49.3%,51-39,56.7%,0,,,,,,,,,,,
vs Lefties,84,33,51,39.3%,74-105,41.3%,718-837,46.2%,4-7,36.4%,0,,,,,,,,,,,
