Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2024-03-04),1098,8,,,,,,,,,,,,
2023,825,24,,,,,,,,,,,,
2022,684,35,,,,,,,,,,,,
2021,202,322,306,1406,293,1382,286,1383,239,1334,,,,
2020,180,352,152,1584,139,1555,167,1500,,,,,,
2019,181,283,204,1542,178,1523,183,1500,218,1399,,,,
2018,290,131,252,1480,237,1439,240,1446,,,,,,
2017,638,40,,,,,,,,,1403,8,,
2016,608,49,,,,,,,,,,,,
2015,246,210,297,1412,235,1430,287,1358,239,1365,1272,17,,
2014,233,206,270,1441,303,1330,227,1434,,,1527,8,,
2013,358,119,,,,,,,,,813,43,,
2012,445,81,,,,,,,,,826,38,,
2011,713,23,,,,,,,,,1244,12,,
2010,1096,5,,,,,,,,,1240,10,,
2009,913,10,,,,,,,,,,,,
