Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2015 Australian Open R128,L vs Williams,24.1%,29.6%,29.4%,23.3%,33.3%,34.8%,40.0%,53.3%,40.0%,35.3%,35.3%,18.2%,0.0%,66.7%,100.0%,169
2014 Roland Garros R32,L vs Halep,7.0%,10.5%,42.0%,9.5%,14.3%,42.1%,15.0%,31.8%,25.0%,0.0%,0.0%,41.7%,0.0%,50.0%,-,-119
2014 Marrakech F,W vs Oprandi,20.2%,33.3%,54.7%,20.8%,32.1%,50.0%,3.7%,26.9%,33.3%,21.4%,39.3%,63.6%,0.0%,37.5%,0.0%,13
Career (3 matches),,17.4%,25.6%,44.6%,17.6%,26.4%,43.7%,16.1%,34.9%,31.3%,21.1%,29.8%,46.7%,0.0%,48.3%,50.0%,79
