Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2018,703,13,,,,,,,,,,,,
2018,703,13,,,,,,,,,,,,
2017,206,270,,,,,,,,,316,192,,
2016,421,80,,,,,,,,,745,35,,
2015,128,432,73,1753,106,1626,54,1696,94,1575,65,1162,,
2014,89,631,114,1670,129,1575,85,1639,108,1537,99,792,,
2013,64,925,93,1698,119,1601,77,1654,75,1591,151,496,,
2012,98,688,74,1758,130,1587,28,1795,,,859,23,,
2011,441,86,,,,,,,,,,,,
2010,265,202,,,,,,,,,425,106,,
2009,504,57,,,,,,,,,,,,
2008,821,11,,,,,,,,,,,,
