Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2015 Australian Open R128,L vs Williams,52.0%,53.8%,8.0%,2/2,2.18,0.0%,50.0%,41.2%,5.9%,2.09,0.0%,64.3%,77.8%,14.3%,2.37,0.0%
2014 Roland Garros R32,L vs Halep,65.4%,44.1%,5.8%,2/1,1.93,0.0%,65.6%,47.6%,6.3%,1.83,0.0%,76.5%,38.5%,5.9%,2.23,0.0%
2014 Marrakech F,W vs Oprandi,74.7%,50.7%,5.3%,1/4,2.10,21.9%,73.8%,50.0%,6.2%,2.21,21.4%,88.5%,52.2%,3.8%,1.90,22.7%
Career (3 matches),,66.5%,49.6%,6.1%,41.7%,2.06,9.5%,65.6%,47.7%,6.1%,2.04,8.8%,78.9%,53.3%,7.0%,2.10,11.1%
