Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Australian Open Q1,L vs Dzumhur,13% (1/8),0% (0/1),0/3,50% (4/8),0% (0/4),0/0,0/0,1/2,0/0,1/1
2022 Alicante CH QF,L vs Marozsan,25% (4/16),75% (3/4),0/2,29% (5/17),20% (1/5),3/3,1/1,2/4,0/0,1/2
2020 Atp Cup RR,L vs Norrie,25% (3/12),100% (3/3),2/5,46% (6/13),0% (0/6),1/3,1/1,1/2,0/0,0/1
2019 Tampere CH R64,W vs Pellegrino,33% (7/21),71% (5/7),2/4,27% (6/22),17% (1/6),2/3,2/2,2/2,1/1,2/2
2019 Milan CH R32,L vs Balzerani,36% (5/14),60% (3/5),0/3,36% (5/14),20% (1/5),1/1,0/0,0/1,0/0,0/1
2019 M15 Plovdiv R16,W vs Mladenov,71% (5/7),100% (5/5),1/1,13% (1/8),0% (0/1),4/5,2/2,0/0,1/1,0/0
2019 M15 Plovdiv R32,W vs Arreche,55% (6/11),83% (5/6),2/2,20% (2/10),0% (0/2),3/3,1/2,0/0,1/1,0/0
2019 M15 Antalya R16,W vs Erel,33% (3/9),100% (3/3),1/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2019 Ostrava CH R32,L vs Novak,36% (5/14),100% (5/5),2/5,50% (7/14),29% (2/7),1/4,0/0,0/0,0/0,0/0
2019 M15 Antalya QF,L vs Oconnell,36% (4/11),75% (3/4),1/4,45% (5/11),20% (1/5),3/3,0/1,1/1,0/0,0/0
2019 M15 Antalya R16,W vs Hellfritsch,75% (6/8),83% (5/6),2/2,44% (4/9),50% (2/4),3/4,1/2,0/0,1/1,0/0
2019 M15 Antalya R32,W vs Woerner,75% (6/8),83% (5/6),1/1,13% (1/8),0% (0/1),3/4,1/2,0/0,0/1,0/0
2019 M15 Antalya QF,L vs Popko,50% (6/12),50% (3/6),1/3,54% (7/13),29% (2/7),3/3,1/1,0/2,0/0,0/1
2019 M15 Antalya R32,W vs Erler,83% (5/6),100% (5/5),0/0,14% (1/7),100% (1/1),4/4,1/1,0/0,1/1,0/0
2019 M15 Antalya R16,L vs Meligeni Alves,43% (6/14),50% (3/6),1/4,36% (5/14),20% (1/5),2/2,0/0,0/0,0/0,0/0
2019 M15 Antalya R32,W vs Apostol,78% (7/9),86% (6/7),2/2,36% (4/11),50% (2/4),3/5,1/3,0/0,1/1,0/0
2019 Bangkok CH R16,L vs Duckworth,25% (2/8),50% (1/2),1/4,63% (5/8),0% (0/5),1/1,0/0,0/1,0/0,0/0
2019 Bangkok CH R32,L vs Sugita,30% (3/10),33% (1/3),0/3,30% (3/10),0% (0/3),1/1,0/0,2/2,0/0,0/0
2019 Bangkok CH R64,W vs Tyurnev,63% (5/8),80% (4/5),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,0/0,0/0
2019 Sofia R32,L vs Haase,22% (2/9),0% (0/2),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,1/1
2023 (1 matches),,12.5%,0.0%,0.0%,50.0%,0.0%,-,-,50.0%,-,100.0%
2022 (1 matches),,25.0%,75.0%,0.0%,29.4%,20.0%,100.0%,100.0%,50.0%,-,50.0%
2020 (1 matches),,25.0%,100.0%,40.0%,46.2%,0.0%,33.3%,100.0%,50.0%,-,0.0%
2019 (19 matches),,42.9%,73.9%,37.0%,34.4%,30.1%,80.8%,70.0%,71.4%,87.5%,75.0%
2018 (4 matches),,43.9%,66.7%,25.0%,43.9%,27.8%,81.8%,100.0%,80.0%,100.0%,50.0%
Career (43 matches),,34.9%,67.9%,24.2%,40.5%,24.4%,75.5%,72.4%,57.1%,80.0%,59.3%
