Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,119,63,56,52.9%,146-121,54.7%,1334-1237,51.9%,15-15,50.0%,118,75.9%,27.3%,4.7%,3.1%,66.5%,67.6%,50.8%,61.9%,39.1%,50.7%,1.03
Clay,180,92,88,51.1%,217-195,52.7%,2020-1891,51.6%,26-34,43.3%,178,72.1%,31.0%,2.5%,2.9%,66.9%,63.8%,51.6%,59.8%,41.4%,50.6%,1.03
Finals,7,3,4,42.9%,9-8,52.9%,83-74,52.9%,0-2,0.0%,7,73.1%,33.8%,2.9%,4.0%,68.3%,64.2%,43.8%,57.7%,41.9%,50.2%,0.99
Semi-finals,15,7,8,46.7%,16-18,47.1%,161-166,49.2%,2-3,40.0%,15,65.9%,33.1%,2.2%,4.2%,63.2%,61.0%,48.8%,56.5%,43.0%,49.8%,0.99
Quarter-finals,40,15,25,37.5%,41-48,46.1%,408-418,49.4%,3-4,42.9%,39,71.8%,27.0%,3.4%,3.2%,66.1%,65.2%,49.7%,59.9%,38.7%,49.4%,0.96
vs Righties,250,126,124,50.4%,299-273,52.3%,2817-2674,51.3%,33-43,43.4%,247,73.6%,28.7%,3.3%,3.0%,66.5%,65.4%,51.1%,60.6%,40.1%,50.5%,1.02
vs Lefties,40,23,17,57.5%,50-36,58.1%,434-377,53.5%,8-6,57.1%,40,72.7%,33.7%,3.9%,3.3%,66.8%,64.3%,52.4%,60.4%,42.7%,51.5%,1.08
