Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 Australian Open Q1,L vs Dzumhur,50% (4/8),0% (0/2),0/0,0/0,20% (1/5),1/3,1/2,- (0/0),- (0/0)
2022 Alicante CH QF,L vs Marozsan,68% (13/19),50% (3/6),1/1,0/0,33% (2/6),1/3,0/1,- (0/0),- (0/0)
2020 Atp Cup RR,L vs Norrie,50% (7/14),60% (3/5),1/1,0/0,40% (4/10),0/2,0/1,- (0/0),- (0/0)
2019 Tampere CH R64,W vs Pellegrino,72% (13/18),42% (5/12),3/5,1/1,50% (5/10),2/3,1/1,- (0/0),- (0/0)
2019 Milan CH R32,L vs Balzerani,47% (9/19),38% (3/8),1/1,0/0,43% (3/7),5/7,2/3,- (0/0),- (0/0)
2019 M15 Plovdiv R16,W vs Mladenov,54% (7/13),83% (5/6),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 M15 Plovdiv R32,W vs Arreche,78% (7/9),56% (5/9),2/4,1/2,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Antalya R16,W vs Erel,82% (9/11),43% (3/7),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Ostrava CH R32,L vs Novak,45% (9/20),45% (5/11),1/2,0/0,58% (7/12),0/2,0/1,- (0/0),- (0/0)
2019 M15 Antalya QF,L vs Oconnell,70% (7/10),43% (3/7),0/6,0/0,33% (2/6),1/3,0/1,75% (6/8),13% (1/8)
2019 M15 Antalya R16,W vs Hellfritsch,70% (7/10),71% (5/7),2/6,1/3,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2019 M15 Antalya R32,W vs Woerner,100% (7/7),42% (5/12),2/4,1/3,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Antalya QF,L vs Popko,50% (8/16),27% (3/11),1/3,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2019 M15 Antalya R32,W vs Erler,88% (7/8),83% (5/6),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Antalya R16,L vs Meligeni Alves,63% (10/16),33% (3/9),1/1,0/0,64% (7/11),1/3,0/1,- (0/0),- (0/0)
2019 M15 Antalya R32,W vs Apostol,86% (6/7),50% (6/12),2/3,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 Bangkok CH R16,L vs Duckworth,50% (3/6),25% (1/4),0/0,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2019 Bangkok CH R32,L vs Sugita,50% (7/14),20% (1/5),0/0,0/0,50% (3/6),2/4,0/1,- (0/0),- (0/0)
2019 Bangkok CH R64,W vs Tyurnev,89% (8/9),50% (4/8),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2019 Sofia R32,L vs Haase,50% (6/12),0% (0/3),0/0,0/0,63% (5/8),5/7,2/3,- (0/0),- (0/0)
2023 (1 matches),,50.0%,0.0%,-,-,20.0%,33.3%,50.0%,-,-
2022 (1 matches),,68.4%,50.0%,100.0%,-,33.3%,33.3%,0.0%,-,-
2020 (1 matches),,50.0%,60.0%,100.0%,-,40.0%,0.0%,0.0%,-,-
2019 (19 matches),,64.1%,43.6%,53.3%,60.0%,55.7%,51.2%,50.0%,64.7%,10.5%
2018 (4 matches),,56.0%,46.2%,27.3%,100.0%,58.1%,45.5%,50.0%,46.7%,40.0%
Career (43 matches),,62.6%,40.3%,48.6%,61.1%,51.7%,48.8%,46.7%,52.4%,32.3%
