Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2019 Monterrey QF,L vs Rybarikova,4.8,4.6,5.0,38.0%,50.0%,60.0%,65.0%,48.1%,10.7%,10.5,9.1,7.5,6.3
2019 Indian Wells R128,L vs Voegele,5.5,6.0,5.0,40.4%,60.6%,54.5%,34.5%,51.4%,7.9%,4.5,3.0,0.0,0.0
2018 Eastbourne R64,L vs Sabalenka,3.8,3.7,4.0,40.5%,27.3%,60.0%,66.7%,54.5%,16.5%,-7.0,-7.1,2.5,3.3
2015 Wimbledon R128,L vs Makarova,4.0,4.6,3.3,43.1%,38.1%,60.0%,12.5%,54.7%,5.2%,0.5,0.6,-10.0,-13.7
2015 Indian Wells R64,L vs Lepchenko,5.1,5.0,5.3,42.9%,21.1%,57.1%,50.0%,53.2%,4.6%,-1.5,-1.3,-9.0,-8.9
Career (5 matches),,4.6,4.7,4.5,40.8%,39.7%,58.6%,45.6%,52.1%,9.1%,1.4,1.2,-1.8,-1.8
