Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open R64,L vs Minnen,0.92,0.85,75.0,5.3,3.8%,56.6%,6.0%,58.0%,33.3%,46.7%
2023 US Open R128,W vs Vekic,1.09,1.23,61.5,9.5,6.4%,53.2%,9.1%,68.2%,42.6%,46.9%
2019 W60 Berkeley CA SF,L vs Hibi,0.91,0.64,42.1,2.1,-,50.0%,-,33.3%,50.0%,32.0%
2019 W100 Bonita Springs FL R32,W vs Fernandez,1.06,1.49,49.7,2.7,0.0%,56.0%,0.0%,65.0%,59.4%,53.3%
2019 Bogota R16,L vs Zidansek,0.95,0.56,38.0,2.0,0.0%,48.3%,0.0%,44.8%,25.9%,37.5%
2019 Bogota R32,W vs Kuwata,0.98,1.43,48.3,2.8,6.7%,60.0%,0.0%,44.8%,72.0%,65.2%
2019 Monterrey QF,L vs Rybarikova,0.85,0.84,48.6,2.2,0.0%,62.1%,4.0%,72.0%,17.5%,50.0%
2019 Monterrey R16,W vs Hibino,1.07,1.09,93.0,5.7,1.5%,51.5%,1.7%,51.7%,55.2%,42.6%
2019 Monterrey R32,W vs Riske Amritraj,1.04,1.26,62.6,3.6,5.6%,52.8%,3.0%,51.5%,51.4%,64.7%
2019 Miami R128,L vs Wickmayer,0.97,0.75,56.5,4.6,2.2%,54.3%,4.5%,54.5%,23.1%,48.6%
2019 Indian Wells R128,L vs Voegele,0.92,0.78,53.6,3.6,0.0%,47.2%,0.0%,39.4%,40.6%,55.2%
2019 Indian Wells 125K R32,L vs Townsend,0.78,0.61,44.9,3.6,0.0%,67.9%,0.0%,52.0%,33.3%,28.0%
2019 Indian Wells 125K R64,W vs Glushko,1.05,1.58,48.3,3.1,0.0%,51.7%,0.0%,70.4%,58.3%,60.0%
2019 Australian Open R64,L vs Collins,0.84,0.71,50.4,2.2,0.0%,63.0%,0.0%,52.0%,28.6%,43.8%
2019 Australian Open R128,W vs Bonaventure,1.29,1.20,64.9,5.0,0.0%,62.8%,0.0%,48.6%,42.2%,39.0%
2019 Auckland R32,L vs Flipkens,0.80,0.50,36.7,2.2,4.0%,44.0%,0.0%,58.3%,17.9%,45.8%
2018 Chicago QF,W vs Blinkova,1.15,1.36,57.3,3.1,0.0%,66.7%,2.9%,55.9%,42.4%,50.0%
2018 Chicago R16,W vs Kiick,0.94,1.63,42.3,2.3,0.0%,64.0%,4.3%,65.2%,53.8%,69.6%
2018 Chicago R32,W vs Jabeur,1.20,1.18,73.0,3.1,0.0%,65.5%,0.0%,46.0%,40.5%,45.9%
2018 US Open R128,L vs Svitolina,0.80,0.74,44.5,3.0,0.0%,55.6%,3.1%,59.4%,37.2%,41.5%
2023 (2 matches),,1.00,1.03,68.3,6.8,5.0%,55.0%,7.4%,62.8%,38.2%,46.8%
2019 (14 matches),,0.98,0.93,56.6,2.9,1.5%,54.9%,1.1%,52.1%,41.0%,47.2%
2018 (28 matches),,1.03,1.04,52.1,2.5,1.5%,56.1%,1.2%,53.6%,43.9%,47.4%
2017 (23 matches),,1.02,1.07,65.3,3.3,1.4%,52.5%,0.9%,52.3%,49.0%,50.7%
2016 (35 matches),,1.05,1.06,63.9,3.0,2.7%,54.8%,2.3%,54.7%,44.8%,46.5%
Career (143 matches),,1.02,1.01,58.4,2.9,2.0%,53.9%,1.5%,52.9%,44.8%,47.7%
