Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),311,164,,,,,,,,,,,,
2025,317,162,,,,,,,,,,,,
2024,1255,6,,,,,,,,,446,119,,
2023,392,123,339,1384,332,1338,310,1361,,,,,,
2022,390,119,351,1378,328,1349,340,1330,,,,,,
2021,335,144,321,1390,314,1348,299,1356,,,,,,
2020,282,182,,,,,,,,,,,,
2019,254,182,261,1477,234,1461,329,1346,223,1396,268,207,,
2018,289,133,269,1456,209,1474,317,1325,223,1371,225,265,,
2017,146,381,139,1623,126,1602,221,1460,152,1489,472,111,,
2016,208,263,323,1357,325,1303,278,1364,,,299,229,,
2015,615,50,,,,,,,,,1115,24,,
2014,1432,3,,,,,,,,,1655,6,,
2013,1790,1,,,,,,,,,,,,
