Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Hamburg R32,W vs Geerlings,21.9%,28.9%,46.4%,25.7%,34.3%,48.1%,29.0%,69.2%,62.5%,17.9%,23.1%,43.8%,25.0%,78.9%,100.0%,33
2025 ITF Bonita Springs F,W vs Osuigwe,24.2%,36.4%,53.2%,27.1%,37.5%,54.3%,44.0%,56.5%,100.0%,20.0%,40.0%,50.0%,20.0%,30.0%,100.0%,73
2022 Bogota R32,L vs Lamens,34.1%,38.8%,37.0%,50.0%,57.9%,36.8%,33.3%,70.0%,0.0%,27.0%,29.7%,37.0%,22.2%,52.6%,80.0%,126
2021 Charleston 2 F,W vs Jabeur,28.6%,36.9%,50.9%,36.5%,46.2%,42.4%,17.4%,65.5%,50.0%,18.5%,25.9%,63.6%,7.7%,64.3%,100.0%,61
2020 Roland Garros R128,W vs Blinkova,17.0%,22.7%,50.7%,13.7%,23.5%,50.0%,50.0%,40.0%,40.0%,24.2%,24.2%,52.0%,37.5%,11.8%,0.0%,27
2019 Bogota F,L vs Anisimova,28.2%,32.9%,28.0%,39.6%,45.8%,34.5%,52.4%,70.4%,50.0%,19.2%,23.1%,19.0%,0.0%,69.2%,100.0%,37
2019 Bogota QF,W vs Errani,26.4%,50.0%,50.0%,34.9%,53.5%,50.0%,33.3%,50.0%,60.0%,15.4%,50.0%,50.0%,27.3%,26.7%,0.0%,21
2019 Australian Open R64,L vs Sakkari,25.5%,30.9%,32.4%,32.4%,38.2%,39.1%,58.8%,41.2%,33.3%,17.6%,23.5%,21.4%,57.1%,50.0%,50.0%,46
2019 Australian Open R128,W vs Hon,33.0%,43.4%,44.8%,38.9%,52.8%,56.8%,57.1%,43.2%,66.7%,23.3%,26.7%,21.7%,38.5%,58.8%,100.0%,38
Last 52 Weeks (2 matches),,22.8%,31.7%,48.9%,26.3%,35.6%,50.6%,35.7%,64.5%,72.7%,18.5%,27.8%,45.5%,24.0%,62.1%,100.0%,52
Career (9 matches),,26.6%,35.5%,44.6%,32.7%,43.0%,47.2%,41.9%,56.9%,55.6%,20.8%,28.8%,40.4%,25.0%,50.0%,66.7%,81
