Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),201,356,237,1511,240,1466,192,1496,172,1444,625,101,,
2025,160,451,226,1527,229,1486,192,1504,178,1452,567,122
2024,235,307,225,1499,220,1468,210,1457,176,1438,320,230
2023,124,590,138,1616,157,1548,108,1603,,,,
2022,234,274,201,1511,202,1473,162,1502,145,1460,,
2021,98,806,138,1626,138,1578,126,1579,147,1465,,
2020,129,589,150,1516,154,1467,137,1479,,,109,823
2019,112,597,191,1548,191,1498,162,1520,171,1434,136,585
2018,231,249,,,,,,,,,332,184
2017,424,88,,,,,,,,,524,81
2016,850,15,,,,,,,,,730,37
2015,800,18,,,,,,,,,,
2011,,,,,,,,,,,1035,14
