Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Hamburg R32,W vs Geerlings,0.0%,-,9.7%,80.0%,9.8%,7.5%,12.5%,5.5%,21.4%,2.4%,33.3%,-20,-11
2025 ITF Bonita Springs F,W vs Osuigwe,1.6%,100.0%,16.2%,68.4%,14.3%,9.8%,11.1%,12.2%,37.5%,2.9%,0.0%,-13,11
2022 Bogota R32,L vs Lamens,0.0%,-,5.2%,55.6%,9.7%,5.4%,7.7%,5.0%,0.0%,0.4%,0.0%,69,128
2021 Charleston 2 F,W vs Jabeur,8.4%,71.4%,19.4%,60.6%,10.4%,14.7%,0.0%,8.3%,0.0%,1.2%,66.7%,-35,12
2020 Roland Garros R128,W vs Blinkova,0.0%,-,9.5%,63.2%,20.7%,40.9%,16.7%,7.3%,16.7%,0.5%,100.0%,-15,-21
2019 Bogota F,L vs Anisimova,0.0%,-,3.4%,33.3%,13.1%,5.3%,20.0%,3.6%,0.0%,0.6%,0.0%,92,119
2019 Bogota QF,W vs Errani,9.2%,33.3%,18.4%,47.8%,25.2%,25.0%,10.0%,0.0%,0.0%,1.7%,33.3%,211,208
2019 Australian Open R64,L vs Sakkari,15.4%,75.0%,13.7%,71.4%,5.9%,0.0%,14.3%,0.0%,0.0%,0.9%,0.0%,122,94
2019 Australian Open R128,W vs Hon,6.4%,83.3%,9.0%,84.2%,13.7%,26.1%,100.0%,12.1%,33.3%,0.4%,0.0%,19,55
Last 52 Weeks (2 matches),,0.6%,100.0%,12.0%,74.4%,11.7%,8.5%,12.0%,8.2%,27.3%,2.6%,18.8%,-17,-3
Career (9 matches),,3.9%,67.9%,10.9%,64.8%,14.1%,16.4%,12.5%,6.8%,19.3%,1.3%,28.6%,28,51
