Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Hamburg R32,W vs Geerlings,4.4,4.3,4.6,57.3%,39.7%,52.2%,56.5%,64.3%,18.0%,-4.5,-2.1,8.0,7.6
2025 ITF Bonita Springs F,W vs Osuigwe,5.0,5.1,4.7,66.1%,44.8%,50.0%,58.8%,64.1%,23.9%,13.5,9.1,4.0,6.3
2022 Bogota R32,L vs Lamens,3.0,2.5,3.5,53.7%,51.5%,27.3%,44.4%,67.3%,17.6%,-10.5,-7.0,-6.0,-10.0
2021 Charleston 2 F,W vs Jabeur,3.7,3.4,4.0,54.7%,51.0%,53.3%,44.4%,62.5%,26.6%,3.0,2.1,0.0,0.0
2020 Roland Garros R128,W vs Blinkova,4.4,4.6,4.2,49.5%,45.7%,57.7%,68.4%,55.6%,44.5%,32.5,17.0,1.5,1.7
2019 Bogota F,L vs Anisimova,2.4,2.5,2.3,48.2%,34.4%,60.0%,0.0%,56.1%,15.9%,3.5,4.2,-4.0,-7.0
2019 Bogota QF,W vs Errani,3.4,3.2,3.7,61.6%,52.6%,44.4%,45.5%,79.5%,41.7%,15.0,11.2,-8.0,-38.1
2019 Australian Open R64,L vs Sakkari,3.0,3.1,2.9,37.3%,45.8%,33.3%,50.0%,59.3%,34.8%,-13.5,-22.5,-2.5,-8.3
2019 Australian Open R128,W vs Hon,2.9,2.9,2.9,55.0%,45.7%,45.5%,66.7%,71.0%,18.5%,9.0,6.0,0.5,1.0
Last 52 Weeks (2 matches),,4.6,4.6,4.7,60.5%,41.4%,51.4%,57.5%,64.2%,20.4%,4.5,2.5,6.0,7.1
Career (9 matches),,3.6,3.5,3.6,53.5%,45.3%,48.8%,55.1%,64.0%,27.3%,5.3,3.8,-0.7,-1.2
