Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2015 Fed Cup RR,L vs Radwanska,4.9,5.9,3.6,36.5%,46.7%,35.7%,53.8%,48.3%,11.1%,-3.5,-3.6,-1.0,-1.1
2007 Tokyo F,W vs Ivanovic,3.8,3.3,4.2,56.2%,61.8%,54.5%,55.6%,43.4%,13.1%,6.5,8.6,4.0,4.5
2007 Australian Open R64,W vs Kudryavtseva,4.3,4.2,4.5,59.4%,58.3%,50.0%,57.1%,48.7%,9.4%,10.5,12.4,8.0,9.4
2007 Australian Open R128,W vs Dechy,4.3,3.6,4.8,64.4%,61.9%,66.7%,100.0%,48.7%,3.8%,12.0,16.7,15.5,20.9
2006 WTA Championships RR,W vs Petrova,4.5,4.6,4.4,58.1%,48.8%,34.5%,44.4%,44.6%,6.7%,-2.5,-1.9,3.0,1.9
2006 Montreal F,L vs Ivanovic,4.2,4.4,4.0,41.5%,37.0%,50.0%,42.9%,51.9%,13.2%,-1.0,-1.3,0.5,0.8
2006 Berlin R16,W vs Dementieva,5.7,4.7,6.9,58.8%,54.5%,60.0%,57.7%,48.0%,7.5%,1.0,0.8,1.0,0.8
2006 Doha QF,W vs Kuznetsova,4.9,4.4,5.5,54.3%,48.6%,66.7%,45.5%,41.0%,7.7%,6.5,5.4,6.0,3.6
2006 Dubai R32,W vs Mirza,4.7,4.4,5.1,54.8%,44.7%,62.5%,68.4%,57.2%,16.8%,5.0,3.1,4.5,4.4
2006 Tokyo F,L vs Dementieva,5.0,4.5,5.4,38.6%,36.0%,35.7%,30.8%,45.9%,12.3%,-10.0,-11.6,5.0,5.4
2006 Australian Open QF,L vs Clijsters,3.9,4.0,3.9,52.3%,54.2%,32.0%,33.3%,48.6%,12.1%,4.5,3.3,0.0,0.0
2002 Filderstadt R16,L vs Dementieva,5.5,5.6,5.4,48.6%,28.1%,46.2%,43.8%,56.5%,9.6%,-7.5,-6.4,-5.5,-6.5
2002 Hamburg SF,L vs Williams,4.5,5.0,4.0,47.1%,35.5%,36.4%,35.0%,53.6%,19.1%,-4.0,-3.5,2.0,2.3
2002 Indian Wells SF,W vs Seles,3.5,3.6,3.4,62.5%,56.5%,28.6%,80.0%,52.5%,7.1%,3.0,5.3,3.5,6.7
2002 Tokyo F,W vs Seles,3.2,3.2,3.2,48.9%,45.2%,68.4%,57.1%,47.6%,15.8%,8.5,8.4,13.5,13.5
2002 Australian Open F,L vs Capriati,5.8,5.3,6.2,50.6%,45.6%,38.1%,51.1%,50.9%,5.9%,-3.0,-1.1,-9.5,-3.8
2002 Australian Open SF,W vs Seles,4.1,3.6,4.6,61.0%,32.6%,60.0%,44.4%,55.8%,20.0%,13.5,8.7,5.5,5.3
2001 US Open SF,L vs Williams,4.1,4.7,3.3,22.9%,55.6%,35.7%,40.0%,47.9%,12.2%,4.5,7.1,-1.0,-1.6
2001 Roland Garros SF,L vs Capriati,5.6,5.6,5.6,54.9%,31.3%,51.7%,36.4%,58.2%,12.4%,-4.5,-2.4,-9.5,-8.1
2001 Charleston F,L vs Capriati,6.5,6.8,6.2,45.6%,54.5%,50.0%,42.5%,54.8%,13.6%,8.0,2.8,9.5,4.6
Career (79 matches),,4.6,4.6,4.6,52.3%,49.5%,52.0%,49.7%,50.2%,10.2%,6.1,4.8,5.8,4.9
