Date,Tournament,Surface,Rd,,Score
24-Aug-1970,Braunschweig,Clay,F,Masthoff / Han Jurgen Pohmann [GER] d. Heide Orth / Dieter Ecklebe [GER],6-1 6-3
01-Sep-1969,Stuttgart Closed,,F,Masthoff / Han Jurgen Pohmann [GER] d. Kerstin Seelbach [FRG] / Uwe Gottschalk [GER],6-2 7-9 6-3
16-May-1969,Leverkusen,Clay,F,Masthoff / Han Jurgen Pohmann [GER] d. Faye Urban [CAN] / Ray Keldie [AUS],6-2 3-6 6-4
14-Oct-1968,Guadalajara Olympics Demo,Clay,F,Julie Heldman / Herb Fitzgibbon [USA] d. Masthoff / Jurgen Fassbender [GER],6-1 6-3
25-Apr-1966,Reggio Calabria,Clay,F,Masthoff / Tony Roche [AUS] d. Karen Krantzcke / Owen Davidson [AUS],7-5 6-4
12-Apr-1966,Catania,Clay,F,Helen Gourlay [AUS] / Marty Riessen [USA] d. Masthoff / Ion Tiriac [ROU],6-3 6-4
03-Mar-1966,Cairo,Clay,F,Carole Graebner / Clark Graebner [USA] d. Masthoff / Ion Tiriac [ROU],9-7 4-6 7-5
13-Sep-1965,Braunschweig,Clay,F,Heide Orth / Dieter Ecklebe [GER] d. Masthoff / Lothar Pawlik [GER],6-4 6-4
19-Apr-1965,Naples,Clay,F,Masthoff / Giordano Maioli [ITA] d. Madonna Schacht [AUS] / Ion Tiriac [ROU],4-6 6-4 12-10
12-Apr-1965,Catania,Clay,F,Masthoff / Giordano Maioli [ITA] d. Carmen Coronado [ESP] / Jose Edison Mandarino [BRA],8-6 3-6 7-5
20-Jul-1964,Braunschweig,Clay,F,Masthoff / Gunther Sanders [GER] d. Renata Ostermann [FRG] / Peter Scholl [GER],1-6 6-3 6-1
