Date,Tournament,Surface,Rd,,Score
24-Aug-1970,Braunschweig,Clay,F,Masthoff / Heide Orth [GER] d. Helga Schultze [GER] / Katja Ebbinghaus [FRG],6-2 6-2
17-Aug-1970,Kitzbuhel,Clay,F,Brenda Kirk / Annette Van Zyl [RSA] d. Masthoff / Winnie Shaw [GBR],6-4 5-7 6-3
27-Jul-1970,Hilversum,Clay,F,Karen Krantzcke / Kerry Reid [AUS] d. Masthoff / Margaret Court [AUS],3-6 9-7 7-5
13-Jul-1970,Gstaad,Clay,F,Rosie Casals [USA] / Francoise Durr [FRA] d. Masthoff / Betty Stove [NED],6-2 6-2
06-Jul-1970,Dusseldorf,Clay,F,Masthoff / Heide Orth [GER] d. Helga Schultze [GER] / Betty Stove [NED],6-4 4-6 16-14
06-Apr-1970,Nice Lawn Club,Clay,F,Masthoff / Gail Sherriff [FRA] d. Marilyn Aschner / Julie Heldman [USA],6-3 6-3
19-Jan-1970,Munich Indoors,Carpet,F,Ingrid Bentzer / Eva Lundquist [SWE] d. Masthoff / Kora Schediwy [FRG],6-4 1-6 6-4
27-Nov-1969,Sao Paulo,Clay,F,Masthoff / Kora Schediwy [FRG] d. Ana Maria Arias [CHI] / Suzana Gesteira [BRA],6-1 0-6 6-4
17-Nov-1969,Santiago,Clay,F,Masthoff / Kora Schediwy [FRG] d. Ana Maria Arias [CHI] / Maria Eugenia Guzman [ECU],6-3 9-7
11-Nov-1969,Buenos Aires,Clay,F,Rosie Casals / Billie Jean King [USA] d. Masthoff / Kora Schediwy [FRG],6-1 7-5
01-Sep-1969,Stuttgart Closed,,F,Masthoff / Almut Sturm [GER] d. Kora Schediwy [FRG] / Sylvia Thunig [GER],6-1 6-2
04-Aug-1969,Hamburg,Clay,F,Masthoff / Judy Tegart [AUS] d. Edda Buding [FRG] / Helga Schultze [GER],6-1 6-4
21-Jul-1969,Munich,Clay,F,Karen Krantzcke / Kerry Reid [AUS] d. Masthoff / Almut Sturm [GER],6-4 6-1
14-Jul-1969,Nuremburg,Clay,F,Masthoff / Inge Pohmann [GER] d. Edda Buding / Kube [FRG],7-5 6-2
30-Jun-1969,Travemunde,Clay,F,Masthoff / Almut Sturm [GER] d. Katja Ebbinghaus / Edith Winkens [FRG],6-4 9-7
02-Jun-1969,Bielefeld,Clay,F,Masthoff / Heide Orth [GER] d. Helen Amos [AUS] / Laura Rossouw [RSA],7-5 6-2
26-May-1969,Bremen,,F,Masthoff / Heide Orth [GER] d. Jean Evans [USA] / Edith Winkens [FRG],7-5 6-4
23-May-1969,Fed Cup WG QF: FRG vs GBR,Clay,RR,Winnie Shaw / Virginia Wade [GBR] d. Masthoff / Heide Orth [GER],7-5 6-3
22-May-1969,Fed Cup WG R2: FRG vs CAN,Clay,RR,Masthoff / Heide Orth [GER] d. Jane Ohara / Faye Urban [CAN],6-3 6-2
28-Apr-1969,Stuttgart 1,,F,Masthoff / Heide Orth [GER] d. Marilyn Aschner / Peaches Bartkowicz [USA],6-2 6-2
