Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,6,9,40.0%,16-22,42.1%,164-172,48.8%,1-3,25.0%,13,59.5%,38.4%,1.6%,3.4%,62.8%,60.6%,42.7%,53.9%,44.6%,49.2%,0.97
Clay,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,37.5%,12.5%,1.9%,3.8%,57.7%,50.0%,36.4%,44.2%,31.7%,38.7%,0.57
Carpet,3,0,3,0.0%,2-6,25.0%,29-46,38.7%,0-0,-,2,47.6%,33.3%,0.7%,2.2%,61.9%,65.1%,27.5%,50.7%,40.0%,45.4%,0.81
Quarter-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,42.9%,0.0%,2.4%,7.1%,47.6%,50.0%,45.5%,47.6%,17.9%,33.3%,0.34
vs Righties,12,2,10,16.7%,8-22,26.7%,118-163,42.0%,1-2,33.3%,10,53.6%,33.9%,1.3%,4.0%,60.7%,58.9%,40.4%,51.6%,43.1%,47.2%,0.89
vs Lefties,1,1,0,100.0%,2-1,66.7%,13-9,59.1%,0-0,-,0,,,,,,,,,,,
