Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Iasi F,W vs Teichmann,83.9%,59.6%,0.0%,0/0,2.73,2.4%,87.2%,55.9%,0.0%,2.99,4.3%,86.7%,69.2%,0.0%,2.40,0.0%
2024 Olympics R64,L vs Swiatek,71.2%,50.0%,3.4%,1/1,2.20,8.7%,64.1%,48.0%,0.0%,2.24,11.4%,89.5%,52.9%,10.5%,2.06,0.0%
2023 Roland Garros R32,L vs Muchova,75.0%,40.5%,5.4%,1/2,2.55,18.2%,70.3%,42.3%,5.4%,2.54,19.5%,88.9%,37.5%,5.6%,2.59,14.3%
2023 Roland Garros R64,W vs Errani,85.4%,73.2%,2.1%,1/0,2.55,3.4%,91.4%,75.0%,0.0%,2.63,0.0%,81.8%,66.7%,9.1%,2.41,10.0%
2023 Roland Garros R128,W vs Bondar,74.6%,64.0%,3.0%,2/0,2.59,6.0%,69.4%,60.0%,5.6%,2.49,8.3%,89.3%,68.0%,0.0%,2.85,0.0%
2023 Adelaide SF,L vs Sabalenka,45.5%,48.0%,5.5%,3/0,2.75,3.0%,45.2%,42.9%,0.0%,2.78,5.6%,57.9%,54.5%,15.8%,2.73,0.0%
2022 Palermo F,W vs Bronzetti,98.2%,57.4%,1.8%,1/0,2.38,2.9%,97.7%,52.4%,2.3%,2.40,0.0%,100.0%,75.0%,0.0%,2.35,9.1%
2022 Miami R64,W vs Sabalenka,56.9%,45.5%,8.6%,5/0,2.30,10.9%,58.3%,38.1%,5.6%,2.19,15.4%,85.7%,58.3%,21.4%,2.44,5.0%
2021 Cleveland F,L vs Kontaveit,72.2%,42.1%,3.8%,3/0,2.43,11.5%,72.5%,35.1%,5.9%,2.53,16.7%,74.1%,55.0%,0.0%,2.22,0.0%
2021 Wimbledon R32,L vs Swiatek,52.6%,40.0%,5.3%,0/2,2.27,14.3%,33.3%,42.9%,9.5%,2.20,19.0%,76.5%,38.5%,0.0%,2.49,0.0%
2021 Phillip Island Trophy QF,L vs Andreescu,71.0%,50.7%,6.0%,4/2,2.34,4.9%,75.0%,45.2%,5.4%,2.36,6.9%,76.3%,58.6%,7.9%,2.30,0.0%
2020 Roland Garros R64,L vs Halep,75.5%,35.1%,2.0%,1/0,2.29,1.7%,74.4%,34.5%,0.0%,2.20,2.4%,88.9%,37.5%,11.1%,2.47,0.0%
2020 Prague SF,L vs Halep,63.9%,46.2%,3.3%,0/2,2.23,1.9%,73.8%,41.9%,2.4%,2.24,2.7%,72.7%,62.5%,9.1%,2.21,0.0%
2020 Indian Wells 125K F,W vs Doi,82.0%,62.0%,4.9%,2/1,2.73,7.5%,78.4%,58.6%,5.4%,2.83,12.5%,95.5%,66.7%,4.5%,2.58,0.0%
2020 Australian Open R128,L vs Bertens,69.5%,43.9%,1.7%,0/1,2.16,5.6%,65.0%,34.6%,2.5%,1.99,3.8%,93.8%,60.0%,0.0%,2.58,10.0%
2019 US Open Q1,L vs Ozgen,77.1%,56.8%,2.1%,1/0,2.52,37.0%,82.1%,47.8%,0.0%,2.51,53.6%,77.8%,71.4%,5.6%,2.53,11.1%
2019 Roland Garros R32,L vs Anisimova,67.2%,51.1%,7.5%,4/1,2.60,1.7%,64.3%,40.7%,2.4%,2.57,0.0%,78.3%,66.7%,17.4%,2.65,4.3%
2019 Miami R128,L vs Andreescu,75.6%,44.1%,5.6%,4/1,2.37,5.1%,75.0%,41.0%,1.9%,2.37,3.6%,90.6%,48.3%,12.5%,2.37,9.1%
2019 Indian Wells R128,L vs Andreescu,74.7%,51.5%,5.5%,2/3,2.34,5.4%,69.0%,47.5%,5.2%,2.46,8.3%,100.0%,57.1%,7.1%,2.12,0.0%
2019 Australian Open R64,L vs Kvitova,63.2%,47.2%,8.8%,1/4,2.84,10.3%,64.7%,40.9%,5.9%,2.80,17.6%,77.8%,57.1%,16.7%,2.91,0.0%
Last 52 Weeks (1 matches),,83.9%,59.6%,0.0%,0.0%,2.73,2.4%,87.2%,55.9%,0.0%,2.99,4.3%,86.7%,69.2%,0.0%,2.40,0.0%
Career (39 matches),,71.8%,51.7%,3.9%,63.7%,2.45,7.2%,71.6%,48.7%,2.6%,2.44,9.7%,83.0%,56.4%,6.8%,2.48,2.2%
