Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),180,400,106,1706,,,56,1722,96,1578,186,430,,
2025,144,509,67,1775,88,1689,42,1756,83,1612,161,495
2024,79,853,45,1811,64,1719,27,1789,75,1614,1227,20
2023,75,888,45,1813,58,1730,29,1776,56,1635,,
2022,34,1347,37,1836,48,1760,28,1785,57,1647,,
2021,62,1076,58,1797,55,1755,51,1719,77,1599,,
2020,78,932,45,1789,62,1724,30,1751,,,125,715
2019,102,669,118,1673,126,1604,73,1672,129,1510,73,1205
2018,67,872,86,1718,100,1645,45,1729,102,1545,23,2755
2017,43,1194,77,1745,96,1656,37,1750,84,1589,38,1955
2016,29,1531,44,1816,59,1729,21,1815,96,1562,167,401
2015,31,1630,36,1852,40,1782,28,1805,74,1614,30,2320
2014,41,1201,45,1826,49,1743,32,1778,91,1572,55,1375
2013,131,486,133,1632,139,1579,86,1630,155,1466,68,1334
2012,52,1140,49,1834,43,1780,37,1768,104,1552,37,2150
2011,40,1313,37,1866,73,1713,28,1837,99,1553,64,1265
2010,202,296,234,1441,230,1400,206,1425,198,1348,133,546
2009,234,220,214,1483,229,1393,187,1456,186,1403,,
2008,234,122,,,,,,,,,,
2007,721,14,,,,,,,,,,
2006,988,6,,,,,,,,,,
