Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,27,13,14,48.1%,4,1,3,25.0%,2011,2025,R16,26,0.95,4.3%,6.5%,61.3%,61.2%,43.7%,54.4%,43.3%,53.8%,41.5%
Roland Garros,16,Clay,38,22,16,57.9%,8,3,5,37.5%,2009,2025,R16,34,1.04,3.1%,5.1%,66.3%,63.0%,46.7%,57.5%,44.0%,55.2%,48.7%
Wimbledon,16,Grass,28,12,16,42.9%,8,3,5,37.5%,2009,2025,R32,24,0.93,3.9%,6.4%,62.8%,64.7%,40.6%,55.7%,41.3%,47.4%,43.3%
US Open,14,Hard,19,5,14,26.3%,6,1,5,16.7%,2009,2023,R64,18,0.88,2.6%,6.1%,62.6%,61.2%,40.3%,53.4%,41.2%,51.7%,40.3%
Olympics,3,,3,0,3,0.0%,0,0,0,-,2012,2024,R64,3,0.81,4.4%,5.3%,63.3%,56.6%,32.5%,47.8%,42.2%,56.1%,52.4%
Fed Cup,8,,15,8,7,53.3%,2,1,1,50.0%,2010,2019,,7,1.14,4.0%,5.2%,59.8%,69.1%,52.0%,62.2%,43.1%,58.3%,40.3%
Rome,10,Clay,25,15,10,60.0%,3,2,1,66.7%,2015,2025,SF,25,1.11,3.8%,5.3%,66.1%,64.9%,46.7%,58.7%,45.7%,54.5%,48.8%
Madrid,12,Clay,29,17,12,58.6%,10,6,4,60.0%,2012,2025,QF,29,1.05,3.5%,5.2%,67.3%,64.3%,47.5%,58.8%,43.1%,60.0%,44.5%
Charleston,7,Clay,21,14,7,66.7%,8,5,3,62.5%,2015,2025,QF,21,1.07,3.4%,5.4%,67.3%,62.1%,50.1%,58.2%,44.6%,57.5%,45.2%
Miami,11,Hard,20,9,11,45.0%,6,2,4,33.3%,2012,2025,R16,20,0.98,3.1%,4.6%,63.5%,61.7%,48.9%,57.0%,42.1%,54.7%,43.3%
Indian Wells,10,Hard,17,7,10,41.2%,7,3,4,42.9%,2012,2025,R32,17,0.96,3.8%,6.3%,57.6%,62.2%,48.7%,56.4%,42.0%,59.3%,42.9%
Dubai,5,Hard,8,3,5,37.5%,1,1,0,100.0%,2017,2025,R32,8,0.93,2.9%,5.6%,64.4%,62.2%,45.0%,56.1%,40.9%,55.9%,44.4%
