Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,16,7,9,43.8%,18-21,46.2%,175-189,48.1%,2-0,100.0%,16,60.4%,34.4%,2.5%,5.2%,62.1%,60.1%,45.9%,54.7%,42.9%,48.8%,0.95,W (Iasi)
2024,18,10,8,55.6%,20-18,52.6%,171-171,50.0%,2-2,50.0%,18,66.1%,35.1%,2.8%,4.4%,68.4%,62.1%,46.5%,57.2%,43.8%,50.5%,1.02,SF (Palermo)
2023,26,13,13,50.0%,30-29,50.8%,275-278,49.7%,3-1,75.0%,26,62.6%,36.6%,3.8%,6.1%,66.1%,62.6%,44.0%,56.3%,44.5%,50.3%,1.02,SF (Adelaide 1)
2022,41,25,16,61.0%,57-41,58.2%,471-435,52.0%,5-4,55.6%,39,70.8%,35.1%,4.6%,6.5%,64.3%,65.8%,46.2%,58.8%,43.8%,51.1%,1.06,W (Palermo)
2021,32,17,15,53.1%,37-36,50.7%,374-365,50.6%,7-9,43.8%,32,66.2%,33.8%,3.8%,5.1%,64.7%,64.2%,43.3%,56.8%,43.1%,49.8%,1.00,F (Cleveland)
2020,13,5,8,38.5%,10-19,34.5%,127-146,46.5%,1-2,33.3%,13,62.7%,31.6%,1.9%,5.9%,67.3%,59.2%,46.2%,54.9%,41.6%,48.1%,0.92,SF (Prague)
2019,27,11,16,40.7%,28-36,43.8%,300-315,48.8%,3-6,33.3%,27,63.6%,34.7%,2.2%,5.8%,64.3%,60.6%,48.4%,56.2%,43.5%,49.9%,0.99,QF (3x)
2018,47,22,25,46.8%,49-57,46.2%,470-509,48.0%,2-4,33.3%,47,60.0%,36.7%,2.6%,6.2%,63.5%,60.8%,43.2%,54.4%,44.1%,49.2%,0.97,SF (2x)
2017,44,21,23,47.7%,50-55,47.6%,490-502,49.4%,3-5,37.5%,44,64.0%,35.5%,3.0%,6.5%,62.6%,62.0%,45.6%,55.9%,43.9%,49.9%,1.00,W (Bucharest)
2016,46,25,21,54.3%,56-54,50.9%,510-517,49.7%,8-2,80.0%,46,65.7%,32.8%,4.9%,6.2%,61.5%,63.3%,45.8%,56.6%,43.0%,49.9%,0.99,W (Florianopolis)
2015,51,29,22,56.9%,69-53,56.6%,605-557,52.1%,8-8,50.0%,38,66.2%,38.1%,3.6%,5.2%,65.4%,63.0%,49.6%,58.4%,42.5%,50.6%,1.02,W (Seoul)
2014,30,15,15,50.0%,37-33,52.9%,338-337,50.1%,5-6,45.5%,27,-,-,3.4%,4.5%,62.2%,62.6%,46.7%,56.6%,42.4%,49.4%,0.98,F (Moscow)
2013,27,10,17,37.0%,22-36,37.9%,250-292,46.1%,2-3,40.0%,25,-,-,2.6%,7.6%,61.1%,59.1%,40.1%,51.7%,44.1%,47.9%,0.91,QF (Seoul)
2012,44,23,21,52.3%,51-51,50.0%,468-486,49.1%,7-5,58.3%,38,-,-,3.2%,4.6%,66.6%,59.9%,44.4%,54.7%,44.0%,49.4%,0.97,W (Tashkent)
2011,27,16,11,59.3%,35-23,60.3%,263-247,51.6%,1-1,50.0%,25,-,-,3.9%,6.2%,59.1%,63.2%,44.8%,55.7%,45.9%,50.8%,1.04,F (2x)
2010,2,1,1,50.0%,2-2,50.0%,15-19,44.1%,1-0,100.0%,1,-,-,0.0%,9.3%,69.8%,56.7%,15.4%,44.2%,28.6%,36.5%,0.51,
2009,1,0,1,0.0%,1-2,33.3%,11-16,40.7%,0-0,-,1,-,-,0.9%,5.3%,65.5%,50.0%,43.6%,47.8%,44.3%,46.4%,0.85,R32 (Budapest)
Career,492,250,242,50.8%,572-566,50.3%,5313-5381,49.7%,60-58,50.8%,463,64.7%,35.1%,3.4%,5.8%,63.8%,62.1%,45.3%,56.0%,43.6%,49.8%,0.99,
