Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,248,113,135,45.6%,275-309,47.1%,2658-2827,48.5%,32-30,51.6%,225,63.0%,32.9%,3.8%,6.0%,61.6%,62.3%,45.4%,55.8%,42.5%,49.1%,0.96
Clay,210,124,86,59.0%,264-209,55.8%,2306-2140,51.9%,26-19,57.8%,206,67.2%,38.8%,2.9%,5.5%,66.3%,61.7%,45.9%,56.3%,45.4%,50.9%,1.04
Grass,34,13,21,38.2%,33-48,40.7%,349-414,45.7%,2-9,18.2%,32,59.8%,26.5%,4.2%,5.9%,63.6%,63.6%,41.4%,55.5%,39.4%,47.5%,0.89
Grand Slams,94,42,52,44.7%,94-124,43.1%,985-1089,47.5%,7-18,28.0%,91,62.6%,34.0%,3.4%,5.9%,63.6%,62.6%,42.9%,55.4%,42.5%,48.9%,0.95
Premiers,110,52,58,47.3%,123-139,46.9%,1199-1281,48.3%,21-14,60.0%,105,64.7%,32.7%,3.7%,5.8%,63.3%,63.1%,46.3%,56.9%,42.2%,49.6%,0.98
Internationals,210,122,88,58.1%,269-207,56.5%,2296-2110,52.1%,21-17,55.3%,199,65.3%,39.6%,3.0%,5.9%,64.1%,61.0%,45.4%,55.4%,45.6%,50.5%,1.02
Finals,10,6,4,60.0%,14-9,60.9%,117-97,54.7%,0-1,0.0%,9,78.4%,41.5%,4.9%,5.5%,64.6%,65.2%,46.1%,58.4%,44.0%,51.1%,1.06
Semi-finals,25,10,15,40.0%,22-33,40.0%,218-284,43.4%,4-2,66.7%,24,53.3%,32.0%,3.2%,5.0%,64.9%,55.1%,44.7%,51.5%,41.7%,46.7%,0.86
Quarter-finals,45,25,20,55.6%,58-49,54.2%,519-494,51.2%,6-4,60.0%,42,63.9%,37.7%,2.9%,4.9%,65.8%,61.3%,47.4%,56.5%,44.0%,50.3%,1.01
vs Righties,442,224,218,50.7%,514-508,50.3%,4779-4836,49.7%,57-55,50.9%,414,64.4%,35.4%,3.4%,5.8%,63.8%,62.1%,44.9%,55.9%,43.7%,49.8%,0.99
vs Lefties,41,19,22,46.3%,44-50,46.8%,423-450,48.5%,2-3,40.0%,40,67.8%,29.4%,4.1%,6.0%,63.0%,62.6%,48.7%,57.5%,40.9%,49.2%,0.96
vs Top 10,49,8,41,16.3%,25-83,23.1%,382-595,39.1%,3-5,37.5%,48,56.7%,24.9%,3.7%,5.4%,63.8%,57.7%,42.9%,52.3%,38.0%,45.4%,0.80
