Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2013,,,,,,,,,,,40,2127,,
2012,,,,,,,,,,,10,5540,,
2011,131,512,108,1699,111,1626,80,1668,85,1584,32,2645,,
2010,127,535,94,1722,98,1647,74,1681,74,1608,19,3926,,
2009,146,397,89,1720,88,1663,74,1658,102,1541,,,,
2008,68,485,61,1784,65,1703,48,1734,83,1584,,,,
2007,145,234,136,1620,139,1565,102,1591,,,,,,
2006,275,88,,,,,,,,,,,,
2005,50,672,59,1778,68,1679,53,1737,71,1598,,,,
2004,76,467,109,1699,120,1610,94,1639,80,1590,,,,
2003,140,232,162,1554,149,1521,154,1504,,,,,,
2002,192,162,197,1528,173,1508,182,1489,,,,,,
2001,103,370,178,1534,173,1496,159,1500,175,1420,,,,
2000,128,243,178,1532,180,1463,158,1515,,,,,,
1999,234,86,,,,,,,,,,,,
1998,671,10,,,,,,,,,,,,
1997,907,3,,,,,,,,,,,,
