Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2008,8,7,1,87.5%,14-3,82.4%,93-57,62.0%,1-0,100.0%,0,,,,,,,,,,,,W (Sofia 100K)
2007,26,20,6,76.9%,41-15,73.2%,292-203,59.0%,2-1,66.7%,0,,,,,,,,,,,,W (3x)
2005,4,2,2,50.0%,4-5,44.4%,38-44,46.3%,0-0,-,0,,,,,,,,,,,,QF (Ortisei 75K)
2004,43,29,14,67.4%,59-38,60.8%,466-400,53.8%,4-1,80.0%,0,,,,,,,,,,,,W (3x)
2003,45,28,17,62.2%,63-36,63.6%,479-396,54.7%,2-4,33.3%,0,,,,,,,,,,,,F (Vaihingen 25K)
2002,11,3,8,27.3%,6-12,33.3%,66-96,40.7%,0-1,0.0%,0,,,,,,,,,,,,QF (Lenzerheide 25K)
2001,8,4,4,50.0%,11-10,52.4%,89-91,49.4%,0-0,-,0,,,,,,,,,,,,QF (2x)
2000,32,17,15,53.1%,37-27,57.8%,301-278,52.0%,1-1,50.0%,0,,,,,,,,,,,,W (Orbetello 25K)
1999,45,32,13,71.1%,62-29,68.1%,459-317,59.1%,3-3,50.0%,0,,,,,,,,,,,,W (3x)
1998,15,6,9,40.0%,14-14,50.0%,123-117,51.2%,2-3,40.0%,0,,,,,,,,,,,,SF (Orense 10K)
1997,6,2,4,33.3%,5-8,38.5%,49-61,44.5%,0-0,-,0,,,,,,,,,,,,QF (Vigo 10K)
1996,2,0,2,0.0%,0-3,0.0%,5-18,21.7%,0-1,0.0%,0,,,,,,,,,,,,R32 (2x)
1995,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (ITF Mallorca 1)
Career,246,150,96,61.0%,316-202,61.0%,2462-2090,54.1%,15-15,50.0%,0,,,,,,,,,,,,
