Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,9,3,6,33.3%,0,0,0,-,2020,2026,R128,9,0.78,3.0%,2.9%,71.4%,61.3%,44.4%,56.5%,34.0%,53.8%,38.3%
Roland Garros,8,Clay,13,5,8,38.5%,4,1,3,25.0%,2018,2025,R64,11,0.95,2.7%,0.9%,77.5%,62.5%,50.6%,59.8%,38.0%,60.0%,33.6%
Wimbledon,7,Grass,9,2,7,22.2%,4,0,4,0.0%,2018,2025,R128,8,0.80,4.1%,3.4%,69.4%,65.6%,51.6%,61.3%,30.8%,62.3%,36.1%
US Open,7,Hard,9,2,7,22.2%,3,2,1,66.7%,2018,2025,R64,9,0.81,2.4%,2.5%,69.8%,62.1%,43.2%,56.4%,35.2%,61.0%,37.7%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Davis Cup,10,,22,13,9,59.1%,6,5,1,83.3%,2010,2024,,8,0.97,3.9%,2.6%,71.2%,63.3%,48.6%,59.1%,39.7%,67.9%,34.8%
Santiago,4,Clay,8,4,4,50.0%,2,1,1,50.0%,2020,2026,QF,8,1.05,1.5%,2.1%,74.0%,65.9%,51.9%,62.2%,39.8%,45.2%,38.6%
Rio de Janeiro,4,Clay,11,7,4,63.6%,3,1,2,33.3%,2019,2026,QF,11,1.10,2.8%,2.7%,72.4%,65.9%,49.5%,61.4%,42.6%,59.1%,38.0%
Buenos Aires,9,Clay,17,8,9,47.1%,5,2,3,40.0%,2014,2026,R16,16,1.07,2.3%,1.9%,72.4%,65.6%,52.0%,61.9%,40.9%,65.7%,42.1%
Bastad,3,Clay,6,3,3,50.0%,2,1,1,50.0%,2019,2025,R16,6,0.90,2.3%,2.1%,67.4%,66.9%,45.1%,59.8%,36.1%,59.5%,34.1%
Rome Masters,5,Clay,13,7,6,53.8%,2,0,2,0.0%,2020,2025,R32,13,1.02,2.7%,1.4%,73.3%,67.8%,49.3%,62.9%,37.8%,53.9%,41.0%
Madrid Masters,3,Clay,9,6,3,66.7%,3,3,0,100.0%,2019,2025,R32,9,1.11,2.6%,0.9%,75.3%,64.1%,53.2%,61.4%,42.9%,67.9%,50.0%
