Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Roland Garros R128,L vs Jarry,0.0%,-,4.6%,44.4%,10.5%,14.0%,0.0%,7.2%,55.6%,1.7%,20.0%,-63,-103
2022 Madrid R64,L vs Hurkacz,0.0%,-,10.0%,69.6%,11.1%,11.8%,5.7%,11.5%,16.1%,1.3%,50.0%,-68,-73
2022 Monte Carlo R64,L vs Hurkacz,0.0%,-,5.0%,71.4%,8.2%,6.5%,7.7%,3.6%,18.2%,2.1%,66.7%,-99,-90
2021 Tokyo Olympics R64,L vs Djokovic,0.0%,-,8.7%,37.5%,10.1%,9.7%,18.8%,9.7%,20.0%,0.7%,0.0%,30,-20
2020 Santiago R16,W vs Barrios Vera,0.0%,-,6.0%,88.9%,19.6%,20.8%,40.0%,6.1%,0.0%,0.5%,0.0%,1,18
2019 US Open R64,L vs Medvedev,0.0%,-,11.7%,66.7%,10.4%,16.3%,11.8%,7.9%,12.5%,3.7%,15.8%,-30,-37
2019 Bastad R16,L vs Londero,0.0%,-,7.0%,60.0%,19.2%,22.8%,14.3%,13.9%,30.8%,0.3%,0.0%,-57,-49
2019 Milan CH F,W vs Petrovic,0.0%,-,10.3%,62.5%,17.3%,22.7%,25.0%,5.0%,33.3%,0.0%,-,13,7
2019 Roland Garros R64,L vs Tsitsipas,0.0%,-,10.8%,53.8%,7.7%,8.2%,12.5%,9.4%,25.0%,6.5%,44.8%,-26,-26
2019 Sao Paulo QF,L vs Ruud,5.0%,50.0%,11.3%,66.7%,13.3%,14.3%,5.6%,3.7%,0.0%,0.0%,-,63,26
2019 Rio de Janeiro QF,L vs Bedene,1.1%,100.0%,4.2%,100.0%,14.4%,17.8%,8.7%,14.5%,25.0%,2.1%,40.0%,41,12
2019 Rio de Janeiro R16,W vs Carballes Baena,0.0%,-,9.6%,62.5%,17.2%,25.0%,12.5%,5.8%,21.7%,3.0%,54.5%,30,15
2018 Vicenza CH SF,W vs Moroni,8.0%,50.0%,23.2%,76.9%,8.8%,8.8%,3.8%,7.4%,28.6%,3.0%,25.0%,-36,-54
2015 Corrientes CH R16,L vs Schwartzman,0.0%,-,6.5%,28.6%,7.5%,17.6%,0.0%,3.0%,12.5%,2.2%,60.0%,-13,-13
Career (14 matches),,0.6%,57.1%,9.0%,64.6%,12.1%,15.3%,10.3%,8.2%,21.3%,2.3%,38.1%,-25,-34
