Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),160,378,181,1595,252,1464,141,1584,188,1458,,,,
2025,140,438,185,1586,247,1469,154,1567,190,1454,,,,
2024,124,488,144,1635,250,1461,107,1623,172,1483,794,50,,
2023,112,597,144,1622,236,1458,113,1616,174,1466,,,,
2022,132,425,93,1712,,,76,1676,129,1524,,,,
2021,115,654,132,1647,191,1504,106,1632,158,1500,,,,
2020,111,638,168,1555,213,1446,133,1551,,,,,,
2019,75,743,117,1669,186,1514,87,1648,137,1522,263,215,,
2018,122,466,227,1504,321,1328,182,1497,176,1461,214,282,,
2017,241,217,,,,,,,,,301,191,,
2016,746,28,,,,,,,,,634,80,,
2015,485,81,331,1363,321,1313,284,1364,,,506,116,,
2014,267,188,260,1456,260,1395,214,1452,,,192,396,,
2013,335,128,,,,,,,,,460,124,,
2012,678,31,,,,,,,,,492,113,,
2011,1100,5,,,,,,,,,934,28,,
2010,1215,3,,,,,,,,,766,42,,
