Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),85,661,139,1648,128,1617,205,1505,159,1500,,,,
2025,60,877,176,1601,151,1579,219,1481,176,1476,,,,
2024,111,554,179,1578,154,1555,264,1427,185,1473,793,50,,
2023,110,604,125,1644,109,1621,280,1392,157,1490,,,,
2022,158,360,190,1562,174,1534,310,1381,,,,,,
2021,356,125,262,1472,242,1438,,,,,,,,
2020,526,61,,,,,,,,,909,30,,
2019,562,45,,,,,,,,,849,33,,
2018,,,,,,,,,,,637,15,,
2017,1849,1,,,,,,,,,,,,
