Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,1,3,25.0%,5-5,50.0%,40-49,44.9%,1-0,100.0%,4,48.9%,39.6%,0.0%,5.5%,66.1%,53.7%,40.5%,49.2%,45.6%,47.4%,0.90,R16 (W50 Heraklion)
2025,50,37,13,74.0%,75-33,69.4%,548-414,57.0%,4-4,50.0%,49,59.3%,53.4%,1.0%,4.9%,68.9%,58.0%,43.8%,53.6%,51.0%,52.2%,1.10,W (4x)
2024,54,35,19,64.8%,78-40,66.1%,596-440,57.5%,2-4,33.3%,0,,,,,,,,,,,,W (W35 Hammamet)
2023,46,27,19,58.7%,62-39,61.4%,482-414,53.8%,5-1,83.3%,0,,,,,,,,,,,,W (W25 Santa Margherita di Pula)
2022,66,47,19,71.2%,98-49,66.7%,737-582,55.9%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2021,21,11,10,52.4%,26-21,55.3%,220-219,50.1%,3-1,75.0%,1,28.6%,53.8%,1.1%,9.2%,57.5%,50.0%,27.0%,40.2%,53.7%,46.7%,0.90,SF (W25 Braunschweig)
2020,2,1,1,50.0%,2-2,50.0%,16-17,48.5%,0-0,-,0,,,,,,,,,,,,R16 (W15+H Amiens)
2019,49,28,21,57.1%,63-52,54.8%,555-498,52.7%,5-6,45.5%,1,12.5%,37.5%,0.0%,2.8%,61.1%,40.9%,39.3%,40.3%,43.5%,41.5%,0.73,F (3x)
2018,69,45,24,65.2%,91-55,62.3%,736-627,54.0%,8-4,66.7%,0,,,,,,,,,,,,W (Santa Margherita Di Pula $25K)
2017,42,28,14,66.7%,58-36,61.7%,472-424,52.7%,5-4,55.6%,0,,,,,,,,,,,,W (Aschaffenburg $25K)
2016,63,53,10,84.1%,110-33,76.9%,776-492,61.2%,6-1,85.7%,0,,,,,,,,,,,,W (8x)
2015,29,17,12,58.6%,37-26,58.7%,314-280,52.9%,3-9,25.0%,0,,,,,,,,,,,,F (El Kantaoui $10K)
2014,7,2,5,28.6%,5-10,33.3%,61-71,46.2%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2013,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (Braunschweig 15K)
Career,503,332,171,66.0%,710-403,63.8%,5555-4539,55.0%,47-37,56.0%,55,56.9%,52.0%,0.9%,5.0%,68.2%,57.1%,42.8%,52.6%,50.4%,51.5%,1.06,
