Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,6,2,4,33.3%,6-8,42.9%,52-67,43.7%,0-0,-,6,52.4%,35.5%,1.2%,2.6%,63.8%,58.5%,37.9%,51.1%,44.1%,47.6%,0.90,QF (W35 San Gregorio)
2025,64,37,27,57.8%,77-66,53.8%,675-609,52.6%,6-2,75.0%,64,58.9%,45.4%,1.5%,3.7%,60.9%,59.5%,45.0%,53.8%,47.9%,50.8%,1.04,F (2x)
2024,63,35,28,55.6%,76-66,53.5%,662-616,51.8%,5-6,45.5%,0,,,,,,,,,,,,F (2x)
2023,29,13,16,44.8%,31-36,46.3%,293-306,48.9%,0-4,0.0%,0,,,,,,,,,,,,SF (W25 Santa Margherita di Pula)
2022,37,15,22,40.5%,32-48,40.0%,346-394,46.8%,2-7,22.2%,0,,,,,,,,,,,,QF (5x)
2021,35,16,19,45.7%,36-44,45.0%,367-397,48.0%,7-4,63.6%,0,,,,,,,,,,,,SF (W15 Antalya)
2020,22,11,11,50.0%,28-22,56.0%,232-206,53.0%,1-1,50.0%,0,,,,,,,,,,,,F (W15 Monastir)
2019,53,33,20,62.3%,69-48,59.0%,537-471,53.3%,5-0,100.0%,0,,,,,,,,,,,,W (W15 Tabarka)
2018,28,15,13,53.6%,37-29,56.1%,321-275,53.9%,2-3,40.0%,0,,,,,,,,,,,,F (2x)
2017,46,29,17,63.0%,66-36,64.7%,533-423,55.8%,6-5,54.5%,0,,,,,,,,,,,,W (2x)
2016,1,0,1,0.0%,0-0,-,0-0,-,0-0,-,0,,,,,,,,,,,,R32 (Alkmaar $10K)
2014,21,9,12,42.9%,24-24,50.0%,213-204,51.1%,0-2,0.0%,0,,,,,,,,,,,,SF (Amiens 10K)
Career,405,215,190,53.1%,482-427,53.0%,4231-3968,51.6%,34-34,50.0%,70,58.3%,44.5%,1.5%,3.6%,61.2%,59.4%,44.4%,53.6%,47.6%,50.5%,1.02,
