Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,6,2,4,33.3%,4,0,4,0.0%,2022,2026,R128,6,1.00,4.4%,3.7%,59.4%,69.1%,46.1%,59.8%,40.0%,53.8%,52.0%
Roland Garros,4,Clay,10,6,4,60.0%,4,3,1,75.0%,2022,2025,R64,10,0.95,3.7%,2.7%,68.6%,62.8%,47.8%,58.1%,39.7%,50.6%,42.3%
Wimbledon,3,Grass,3,0,3,0.0%,2,0,2,0.0%,2022,2025,R128,3,0.83,6.3%,4.5%,52.9%,67.8%,49.5%,59.2%,33.9%,63.6%,38.5%
US Open,4,Hard,4,0,4,0.0%,0,0,0,-,2022,2025,R128,4,0.58,3.3%,7.0%,49.8%,57.9%,41.0%,49.4%,29.5%,26.7%,50.0%
Miami Masters,3,Hard,8,4,4,50.0%,5,2,3,40.0%,2023,2026,R32,8,0.86,4.5%,2.3%,61.5%,70.3%,50.2%,62.6%,32.1%,57.9%,41.5%
Santiago,6,Clay,11,5,6,45.5%,5,3,2,60.0%,2021,2026,SF,11,0.97,2.6%,4.1%,64.5%,71.8%,42.8%,61.5%,37.5%,58.8%,33.8%
Rio de Janeiro,2,Clay,7,4,3,57.1%,2,1,1,50.0%,2025,2026,SF,7,0.99,3.2%,2.2%,67.7%,69.1%,46.4%,61.7%,37.7%,48.8%,43.8%
Buenos Aires,5,Clay,13,8,5,61.5%,7,6,1,85.7%,2022,2026,QF,13,1.00,2.5%,2.7%,66.3%,61.6%,47.8%,56.9%,43.0%,60.9%,42.1%
Canada Masters,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,R128,2,0.52,6.5%,4.1%,50.4%,69.4%,42.6%,56.1%,23.0%,50.0%,25.0%
Umag,2,Clay,5,3,2,60.0%,2,0,2,0.0%,2024,2025,SF,5,1.08,4.8%,3.1%,63.2%,70.4%,52.3%,63.7%,39.3%,62.5%,50.0%
