Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,19,5,14,26.3%,10-28,26.3%,155-219,41.4%,3-4,42.9%,19,68.4%,13.3%,4.8%,3.9%,56.7%,66.0%,48.4%,58.4%,31.2%,45.5%,0.75
Clay,22,10,12,45.5%,19-27,41.3%,212-238,47.1%,2-4,33.3%,21,73.2%,22.5%,3.4%,3.7%,63.7%,64.0%,49.2%,58.6%,38.1%,48.6%,0.92
Grass,3,0,3,0.0%,0-7,0.0%,30-45,40.0%,0-3,0.0%,3,74.3%,10.8%,5.2%,4.4%,52.6%,61.8%,54.2%,58.2%,28.6%,44.1%,0.69
Grand Slams,4,0,4,0.0%,0-12,0.0%,39-76,33.9%,0-3,0.0%,4,56.4%,14.0%,3.6%,4.9%,51.9%,55.4%,47.1%,51.4%,32.2%,42.3%,0.66
Masters,15,6,9,40.0%,11-18,37.9%,121-154,44.0%,3-0,100.0%,15,72.4%,13.2%,4.1%,3.5%,59.6%,69.1%,48.3%,60.7%,31.1%,46.6%,0.79
Other Tours,25,9,16,36.0%,18-32,36.0%,237-272,46.6%,2-8,20.0%,24,73.8%,20.9%,4.3%,3.8%,61.8%,64.0%,50.5%,58.9%,36.8%,48.1%,0.89
Best of 5,4,0,4,0.0%,0-12,0.0%,39-76,33.9%,0-3,0.0%,4,56.4%,14.0%,3.6%,4.9%,51.9%,55.4%,47.1%,51.4%,32.2%,42.3%,0.66
Best of 3,40,15,25,37.5%,29-50,36.7%,358-426,45.7%,5-8,38.5%,39,73.3%,18.2%,4.2%,3.7%,61.0%,65.8%,49.7%,59.5%,34.8%,47.6%,0.86
Semi-finals,2,0,2,0.0%,0-4,0.0%,18-26,40.9%,0-2,0.0%,2,85.0%,4.5%,6.0%,2.2%,61.2%,69.5%,53.8%,63.4%,28.8%,45.8%,0.79
Quarter-finals,3,2,1,66.7%,3-2,60.0%,27-25,51.9%,0-1,0.0%,3,75.0%,36.7%,6.2%,4.6%,62.4%,71.9%,43.8%,61.3%,41.8%,51.2%,1.08
vs Righties,39,13,26,33.3%,27-57,32.1%,366-462,44.2%,4-10,28.6%,38,70.4%,18.7%,4.0%,3.7%,60.0%,63.5%,49.8%,58.0%,35.1%,47.0%,0.84
vs Lefties,5,2,3,40.0%,2-5,28.6%,31-40,43.7%,1-1,50.0%,5,80.0%,7.3%,5.7%,5.4%,58.6%,77.8%,44.4%,64.0%,27.6%,46.4%,0.77
vs Top 10,4,0,4,0.0%,1-7,12.5%,25-49,33.8%,1-0,100.0%,4,60.5%,5.1%,3.1%,4.7%,60.2%,66.0%,42.6%,56.7%,26.1%,42.3%,0.60
