Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R128,L vs Etcheverry,0.6%,100.0%,10.2%,69.0%,9.1%,9.7%,0.0%,6.5%,39.3%,1.7%,30.0%,-40,-35
2025 Wimbledon R32,L vs Djokovic,0.0%,-,10.1%,56.3%,14.3%,14.7%,0.0%,8.4%,23.8%,1.6%,25.0%,-82,-81
2025 Rome R128,L vs Griekspoor,0.0%,-,6.3%,33.3%,13.4%,8.7%,0.0%,7.2%,26.7%,1.9%,25.0%,-84,-94
2025 Miami R64,L vs Ruud,0.0%,-,10.6%,57.9%,15.3%,16.0%,0.0%,10.4%,43.8%,0.9%,33.3%,-33,-54
2025 Indian Wells R128,L vs Griekspoor,0.0%,-,10.4%,60.0%,13.1%,12.0%,18.2%,7.5%,12.5%,1.1%,66.7%,-79,-54
2025 Delray Beach F,W vs Davidovich Fokina,0.0%,-,8.7%,60.0%,18.1%,24.2%,0.0%,7.0%,8.6%,0.3%,100.0%,-43,-37
2025 Australian Open R32,L vs Rune,2.1%,33.3%,6.5%,55.0%,13.3%,26.8%,0.0%,13.4%,22.9%,0.5%,50.0%,-74,-48
2025 Australian Open R64,W vs Hurkacz,3.8%,100.0%,7.2%,91.7%,20.7%,17.9%,33.3%,13.7%,17.6%,2.2%,0.0%,-25,-45
2024 US Open R64,L vs Musetti,0.0%,-,11.6%,80.6%,18.2%,21.1%,26.1%,4.8%,11.5%,3.8%,42.1%,52,30
2024 Wimbledon R32,L vs Sinner,1.5%,100.0%,7.9%,63.6%,20.5%,17.2%,66.7%,6.3%,30.0%,2.3%,40.0%,-34,-32
2024 Eastbourne R16,W vs Baez,0.0%,-,16.5%,35.3%,17.0%,22.7%,0.0%,8.9%,18.8%,2.6%,0.0%,-65,-80
2024 Rome R64,W vs Ruud,0.0%,-,3.6%,66.7%,9.6%,9.4%,6.3%,10.9%,44.4%,0.8%,0.0%,-76,-60
2024 Monte Carlo R64,W vs Berrettini,0.0%,-,8.2%,50.0%,15.7%,11.5%,0.0%,7.3%,18.2%,3.0%,33.3%,-47,-75
2024 Australian Open R16,L vs Alcaraz,0.0%,-,12.4%,47.4%,8.0%,15.9%,33.3%,5.5%,21.4%,0.3%,0.0%,-89,-69
2024 Australian Open R32,W vs Paul,0.0%,-,9.8%,62.5%,10.3%,12.1%,8.3%,12.3%,33.3%,0.5%,0.0%,-63,-50
2023 Canada R32,L vs Hurkacz,0.0%,-,7.7%,76.9%,16.0%,24.5%,50.0%,12.9%,50.0%,0.7%,0.0%,-31,-49
2023 s Hertogenbosch R32,L vs Raonic,0.0%,-,9.9%,61.5%,16.3%,25.0%,0.0%,10.0%,50.0%,0.9%,0.0%,-72,-67
2023 Banja Luka QF,W vs Lehecka,0.0%,-,4.6%,50.0%,9.0%,28.0%,0.0%,3.2%,6.7%,0.3%,100.0%,-98,-116
2023 Monte Carlo R64,L vs Musetti,0.0%,-,12.4%,50.0%,12.1%,14.7%,9.1%,2.4%,7.1%,1.5%,0.0%,-32,-40
2023 Estoril F,L vs Ruud,0.0%,-,10.4%,57.1%,10.2%,16.1%,7.7%,5.5%,23.1%,0.7%,50.0%,-74,-74
Career (57 matches),,0.2%,81.8%,7.9%,63.5%,12.7%,18.4%,12.5%,7.5%,25.7%,0.9%,31.4%,-67,-63
