Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,241,119,122,49.4%,296-299,49.7%,2983-2951,50.3%,55-66,45.5%,230,79.9%,20.7%,6.0%,2.8%,60.7%,71.6%,52.9%,64.2%,36.3%,50.2%,1.02
Clay,84,41,43,48.8%,107-108,49.8%,1048-1031,50.4%,10-25,28.6%,84,74.4%,27.1%,3.9%,2.2%,61.5%,66.3%,53.1%,61.2%,39.8%,50.2%,1.03
Grass,37,17,20,45.9%,49-57,46.2%,518-554,48.3%,15-13,53.6%,37,81.4%,15.3%,6.4%,2.8%,64.8%,72.3%,52.4%,65.3%,33.8%,49.6%,0.97
Grand Slams,55,27,28,49.1%,100-111,47.4%,1010-1044,49.2%,15-18,45.5%,55,77.3%,21.5%,5.2%,2.6%,61.1%,69.5%,52.0%,62.7%,37.1%,49.8%,0.99
Masters,81,30,51,37.0%,80-113,41.5%,939-1032,47.6%,14-31,31.1%,81,78.8%,17.5%,5.0%,2.7%,60.7%,69.9%,52.6%,63.1%,34.9%,49.1%,0.95
Other Tours,210,111,99,52.9%,254-227,52.8%,2439-2326,51.2%,49-49,50.0%,207,79.3%,23.3%,6.0%,2.7%,61.7%,71.0%,53.3%,64.2%,37.5%,50.7%,1.05
Best of 5,55,27,28,49.1%,100-111,47.4%,1010-1044,49.2%,15-18,45.5%,55,77.3%,21.5%,5.2%,2.6%,61.1%,69.5%,52.0%,62.7%,37.1%,49.8%,0.99
Best of 3,307,150,157,48.9%,352-353,49.9%,3539-3492,50.3%,65-86,43.0%,296,79.3%,21.5%,5.7%,2.7%,61.5%,70.7%,53.1%,64.0%,36.8%,50.2%,1.02
Finals,5,2,3,40.0%,6-7,46.2%,59-69,46.1%,1-2,33.3%,5,80.6%,12.7%,5.0%,3.1%,56.2%,71.1%,51.4%,62.4%,30.1%,47.4%,0.80
Semi-finals,17,5,12,29.4%,13-25,34.2%,174-204,46.0%,4-6,40.0%,17,73.6%,18.7%,5.0%,3.3%,61.6%,67.1%,52.4%,61.5%,36.3%,48.5%,0.94
Quarter-finals,35,16,19,45.7%,38-42,47.5%,380-398,48.8%,5-8,38.5%,35,77.9%,21.0%,5.9%,2.4%,61.5%,69.7%,53.9%,63.6%,35.8%,49.4%,0.98
vs Righties,297,145,152,48.8%,376-382,49.6%,3757-3728,50.2%,63-88,41.7%,289,79.1%,21.6%,5.5%,2.7%,61.1%,70.5%,53.0%,63.7%,36.7%,50.1%,1.01
vs Lefties,61,29,32,47.5%,69-79,46.6%,739-774,48.8%,17-16,51.5%,59,77.1%,20.7%,5.8%,2.8%,62.9%,70.0%,52.1%,63.4%,37.1%,50.1%,1.01
vs Top 10,33,6,27,18.2%,20-63,24.1%,309-465,39.9%,3-8,27.3%,33,67.1%,13.4%,4.1%,2.2%,61.0%,65.5%,47.8%,58.6%,31.7%,45.4%,0.77
