Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),58,875,75,1741,74,1695,74,1692,66,1632,,,,
2025,51,1015,74,1746,79,1699,75,1694,68,1635,,,,
2024,54,1021,65,1757,81,1695,52,1729,58,1645,867,45,,
2023,54,905,71,1749,64,1711,67,1700,73,1610,,,,
2022,29,1420,37,1842,38,1794,35,1784,47,1680,,,,
2021,69,916,125,1660,119,1614,103,1640,90,1590,,,,
2020,44,1308,44,1789,51,1728,57,1712,,,,,,
2019,59,901,84,1727,95,1668,99,1626,72,1639,189,360,,
2018,131,433,93,1699,83,1670,116,1593,132,1511,344,101,,
2017,207,246,193,1548,177,1509,220,1461,,,742,55,,
2016,798,22,,,,,,,,,996,28,,
2015,1350,4,,,,,,,,,,,,
