Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,72,27,45,37.5%,64-93,40.8%,634-775,45.0%,3-2,60.0%,44,54.5%,20.0%,4.6%,7.3%,55.4%,62.2%,41.1%,52.8%,40.8%,47.0%,0.87
Clay,65,28,37,43.1%,68-83,45.0%,665-730,47.7%,8-6,57.1%,47,-,-,3.3%,5.6%,59.4%,62.7%,43.5%,54.9%,43.5%,49.2%,0.96
Grass,11,4,7,36.4%,9-15,37.5%,108-132,45.0%,2-2,50.0%,6,-,-,5.7%,2.9%,65.9%,63.0%,49.7%,58.5%,36.9%,47.6%,0.89
Carpet,12,5,7,41.7%,12-14,46.2%,123-120,50.6%,0-4,0.0%,1,-,-,0.0%,4.8%,59.7%,56.8%,64.0%,59.7%,29.1%,45.3%,0.72
Grand Slams,30,8,22,26.7%,19-47,28.8%,249-368,40.4%,3-3,50.0%,16,-,-,4.4%,4.8%,58.0%,60.1%,44.2%,53.4%,38.0%,45.9%,0.81
Premiers,39,15,24,38.5%,35-54,39.3%,369-459,44.6%,4-4,50.0%,23,-,-,3.2%,5.2%,61.4%,62.9%,43.9%,55.6%,40.3%,47.7%,0.91
Internationals,73,35,38,47.9%,84-84,50.0%,765-775,49.7%,6-6,50.0%,54,54.5%,20.0%,4.1%,6.9%,56.6%,63.4%,42.7%,54.4%,43.8%,49.2%,0.96
Finals,2,2,0,100.0%,4-1,80.0%,27-19,58.7%,1-0,100.0%,2,-,-,5.7%,5.0%,59.7%,73.7%,37.5%,59.1%,47.2%,53.1%,1.16
Semi-finals,6,2,4,33.3%,5-8,38.5%,59-72,45.0%,2-1,66.7%,6,-,-,5.0%,7.0%,54.8%,61.0%,46.7%,54.5%,41.6%,47.7%,0.91
Quarter-finals,11,6,5,54.5%,13-11,54.2%,108-103,51.2%,1-1,50.0%,9,-,-,3.5%,5.1%,61.1%,60.0%,48.6%,55.6%,46.0%,50.6%,1.03
vs Righties,141,53,88,37.6%,127-187,40.4%,1323-1582,45.5%,13-12,52.0%,88,54.5%,20.0%,4.0%,6.0%,58.2%,62.0%,42.9%,54.0%,41.6%,47.8%,0.91
vs Lefties,13,6,7,46.2%,15-14,51.7%,129-131,49.6%,0-2,0.0%,6,-,-,3.7%,8.8%,54.7%,61.6%,42.0%,52.7%,40.6%,47.0%,0.86
vs Top 10,12,0,12,0.0%,3-24,11.1%,76-160,32.2%,1-0,100.0%,8,-,-,1.9%,6.7%,58.1%,56.9%,39.7%,49.7%,36.6%,43.2%,0.73
