Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2021-03-22),448,101,,,,,,,,,1270,11,,
2020,436,101,,,,,,,,,1241,11,,
2019,406,109,,,,,,,,,1181,11,,
2018,440,65,,,,,,,,,,,,
2018,440,65,,,,,,,,,,,,
2017,305,157,,,,,,,,,,,,
2013,421,97,,,,,,,,,,,,
2012,114,589,112,1684,108,1628,90,1633,70,1604,1105,10,,
2011,63,965,68,1777,77,1686,50,1719,49,1660,1140,10,,
2010,88,755,103,1703,131,1590,77,1673,75,1610,,,,
2009,235,220,164,1547,172,1483,144,1537,153,1468,,,,
2008,162,198,131,1629,151,1549,89,1629,132,1495,,,,
2007,118,302,104,1662,120,1584,75,1647,103,1522,,,,
2006,225,118,153,1584,143,1552,165,1477,,,,,,
2005,309,87,,,,,,,,,,,,
2004,403,47,,,,,,,,,,,,
2003,288,81,141,1586,132,1552,150,1498,121,1507,,,,
2002,91,400,97,1712,83,1664,108,1603,75,1591,,,,
2001,118,317,134,1638,145,1538,100,1630,110,1527,,,,
2000,152,179,173,1518,177,1422,178,1429,122,1501,,,,
1999,264,72,,,,,,,,,,,,
1998,418,28,,,,,,,,,,,,
1997,491,19,,,,,,,,,,,,
1996,476,19,,,,,,,,,,,,
1995,718,,,,,,,,,,,,,
