Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Guangzhou QF,W vs Seidel,25.6%,34.9%,51.7%,30.6%,41.9%,53.5%,53.6%,47.1%,75.0%,16.7%,22.2%,46.7%,9.1%,28.6%,-,25
2023 Warsaw R16,L vs Swiatek,15.3%,18.6%,37.5%,22.2%,25.0%,42.9%,28.6%,53.3%,33.3%,4.8%,9.5%,30.0%,0.0%,41.7%,20.0%,-66
2023 Roland Garros R64,L vs Swiatek,16.3%,20.4%,26.8%,11.1%,18.5%,37.5%,18.2%,62.5%,60.0%,22.7%,22.7%,11.8%,21.4%,87.5%,-,-104
2023 Roland Garros R128,W vs In Albon,8.5%,23.4%,70.7%,9.1%,30.3%,80.0%,46.7%,27.8%,0.0%,8.3%,8.3%,45.5%,0.0%,71.4%,100.0%,-36
2023 Miami R64,W vs Grabher,36.7%,46.7%,58.8%,47.4%,57.9%,70.0%,68.8%,45.5%,-,22.2%,33.3%,42.9%,50.0%,50.0%,-,90
2023 Indian Wells R64,L vs Swiatek,11.9%,16.7%,30.3%,17.4%,26.1%,26.3%,45.5%,33.3%,66.7%,6.7%,6.7%,35.7%,14.3%,25.0%,33.3%,-51
2023 Australian Open R64,L vs Bencic,20.8%,34.7%,40.4%,26.9%,44.2%,42.1%,40.0%,33.3%,25.0%,6.7%,13.3%,35.7%,0.0%,37.5%,50.0%,-61
2022 Monastir QF,W vs Jabeur,22.1%,33.7%,47.5%,25.4%,37.3%,44.0%,60.0%,35.1%,20.0%,16.7%,27.8%,53.3%,5.3%,70.6%,100.0%,-71
2022 Tokyo QF,L vs Zheng,27.2%,35.8%,40.7%,37.5%,50.0%,51.4%,50.0%,38.5%,60.0%,4.0%,4.0%,25.0%,20.0%,60.0%,75.0%,-104
2022 Rabat F,L vs Trevisan,9.8%,17.6%,31.8%,9.7%,19.4%,32.1%,66.7%,26.3%,16.7%,11.1%,16.7%,31.3%,45.5%,14.3%,0.0%,-4
2018 Bucharest R16,L vs Martic,9.8%,19.6%,39.2%,4.8%,16.1%,40.7%,36.4%,58.6%,57.1%,23.1%,30.8%,35.0%,22.2%,52.9%,50.0%,57
2018 Wimbledon R64,W vs Kerber,10.6%,23.4%,46.3%,8.5%,23.7%,53.7%,50.0%,45.2%,71.4%,15.2%,24.2%,32.1%,86.7%,5.6%,0.0%,-35
2017 Stanford R32,L vs Gibbs,10.7%,15.5%,40.2%,13.3%,18.3%,40.4%,64.0%,57.1%,28.6%,7.0%,11.6%,40.0%,13.6%,76.2%,75.0%,-104
Last 52 Weeks (1 matches),,25.6%,34.9%,51.7%,30.6%,41.9%,53.5%,53.6%,47.1%,75.0%,16.7%,22.2%,46.7%,9.1%,28.6%,-,25
Career (13 matches),,17.6%,26.7%,43.2%,20.8%,32.2%,47.1%,48.8%,43.9%,45.5%,12.9%,18.5%,36.1%,23.8%,49.7%,45.2%,2
