Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Guangzhou QF,W vs Seidel,0.99,1.19,80.9,4.9,11.4%,56.8%,14.3%,64.3%,42.9%,52.6%
2023 US Open R128,L vs Samsonova,0.85,0.74,50.4,2.7,3.1%,75.0%,0.0%,51.7%,35.1%,27.3%
2023 Warsaw R16,L vs Swiatek,0.89,0.58,34.6,2.4,3.3%,56.7%,0.0%,34.5%,24.1%,46.4%
2023 Wimbledon R128,L vs Tsurenko,0.86,0.88,70.4,3.4,0.0%,60.9%,2.2%,55.6%,41.7%,43.1%
2023 Roland Garros R64,L vs Swiatek,0.90,0.61,39.4,2.1,0.0%,38.5%,0.0%,39.1%,53.3%,28.6%
2023 Roland Garros R128,W vs In Albon,1.03,1.83,42.0,2.0,0.0%,76.0%,4.5%,63.6%,48.1%,58.3%
2023 Miami R64,W vs Grabher,1.27,1.49,46.7,2.2,3.2%,71.0%,10.3%,69.0%,40.7%,29.2%
2023 Indian Wells R64,L vs Swiatek,0.90,0.37,28.7,2.1,0.0%,27.3%,5.0%,45.0%,33.3%,20.0%
2023 Australian Open R64,L vs Bencic,0.91,0.76,54.0,3.8,2.7%,62.2%,5.7%,37.1%,35.9%,48.5%
2022 Monastir QF,W vs Jabeur,1.01,1.19,71.8,3.0,0.0%,51.9%,2.0%,66.0%,45.8%,51.1%
2022 Tokyo QF,L vs Zheng,0.91,0.77,63.2,2.3,9.5%,69.0%,2.6%,43.6%,34.3%,38.2%
2022 US Open R128,L vs Potapova,0.92,0.62,50.2,2.0,11.5%,69.2%,4.3%,52.2%,32.1%,19.2%
2022 Wimbledon R64,L vs Cornet,0.92,0.65,48.5,2.6,0.0%,54.8%,0.0%,51.9%,35.7%,29.6%
2022 Wimbledon R128,W vs Parrizas Diaz,1.28,1.56,47.7,3.3,15.2%,63.6%,6.7%,76.7%,38.5%,34.8%
2022 Rabat F,L vs Trevisan,1.04,0.68,45.6,2.5,0.0%,38.5%,4.0%,36.0%,38.9%,44.1%
2021 US Open R128,L vs Hsieh,1.17,0.66,57.5,2.2,6.3%,37.5%,3.2%,51.6%,32.0%,30.4%
2021 Wimbledon R64,L vs Rybakina,0.86,0.71,45.4,2.1,9.4%,65.6%,7.1%,50.0%,33.3%,35.3%
2021 Wimbledon R128,W vs Doi,1.12,1.18,80.1,1000.0,4.9%,54.1%,3.5%,66.7%,45.6%,37.7%
2019 W60 Landisville PA R32,L vs Frech,0.94,0.74,53.3,6.3,-,56.8%,-,45.5%,39.5%,37.1%
2019 W100 Bonita Springs FL R32,W vs Rogowska,1.18,1.19,61.9,3.1,0.0%,51.1%,0.0%,55.8%,50.0%,44.2%
2025 (1 matches),,0.99,1.19,80.9,4.9,11.4%,56.8%,14.3%,64.3%,42.9%,52.6%
2023 (8 matches),,0.94,0.81,49.1,2.5,1.6%,59.8%,3.4%,49.6%,39.3%,38.7%
2022 (6 matches),,1.00,0.89,56.7,2.5,5.7%,58.0%,3.1%,55.7%,38.3%,38.1%
2021 (3 matches),,1.06,0.89,65.1,3.2,6.4%,52.8%,4.3%,58.6%,39.0%,35.5%
2019 (9 matches),,0.98,1.01,56.1,2.9,1.7%,53.9%,1.3%,51.0%,49.5%,47.7%
Career (73 matches),,1.01,1.01,58.1,2.7,2.9%,55.5%,2.2%,54.4%,43.9%,46.0%
