Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2018,,,57,1765,57,1721,78,1661,38,1697,,,,
2017,56,855,49,1806,39,1776,73,1688,44,1695,45,1590,18,1838
2016,130,459,56,1785,48,1751,78,1687,50,1677,35,2400,23,1803
2015,527,65,,,,,,,,,124,590,,
2014,25,1365,30,1870,25,1829,44,1766,33,1727,5,5350,11,1845
2013,35,1160,37,1851,32,1801,46,1755,34,1735,26,2810,36,1748
2012,35,1075,30,1883,30,1825,41,1775,31,1758,97,770,27,1757
2011,52,900,32,1876,26,1839,53,1753,36,1733,52,1365,16,1800
2010,44,965,32,1871,27,1823,56,1738,30,1730,38,1970,7,1851
2009,46,924,47,1802,43,1754,63,1724,71,1620,32,1970,34,1733
2008,43,804,52,1807,63,1708,49,1757,69,1612,48,1110,38,1721
2007,68,540,71,1733,76,1670,100,1631,75,1591,26,1695,38,1699
2006,40,897,70,1739,61,1698,105,1617,88,1563,67,750,61,1628
2005,165,235,139,1617,119,1593,163,1534,134,1500,59,935,22,1746
2004,65,593,85,1731,81,1674,113,1610,85,1579,50,1208,20,1784
2003,138,268,160,1585,120,1576,246,1435,,,94,605,,
2002,253,114,269,1440,278,1362,264,1401,,,268,154,,
2001,271,129,,,,,,,,,304,153,,
2000,420,56,,,,,,,,,200,264,,
1999,1037,5,,,,,,,,,,,,
