Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,35,20,15,57.1%,19,13,6,68.4%,2003,2018,R32,23,0.93,6.7%,4.6%,64.0%,66.7%,46.4%,59.4%,37.9%,50.2%,40.3%
Roland Garros,16,Clay,32,16,16,50.0%,17,9,8,52.9%,2002,2018,QF,32,0.95,4.6%,3.0%,66.5%,66.4%,48.7%,60.5%,37.4%,57.8%,38.5%
Wimbledon,14,Grass,28,13,15,46.4%,20,7,13,35.0%,2004,2018,R16,25,0.96,8.9%,4.0%,66.7%,70.6%,49.0%,63.4%,35.0%,57.8%,44.0%
US Open,16,Hard,31,15,16,48.4%,10,5,5,50.0%,2002,2018,R32,24,0.97,8.0%,5.4%,61.8%,69.6%,47.1%,61.0%,37.7%,64.8%,43.3%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2012,2012,R32,2,0.89,7.0%,3.1%,62.8%,70.4%,43.8%,60.5%,35.2%,76.5%,60.0%
Davis Cup,4,,7,3,4,42.9%,2,1,1,50.0%,2010,2017,,1,0.53,11.5%,3.8%,65.4%,58.8%,27.8%,48.1%,27.5%,16.7%,0
Indian Wells Masters,13,Hard,25,12,13,48.0%,7,4,3,57.1%,2005,2018,QF,25,0.97,6.2%,5.4%,59.2%,69.1%,47.8%,60.4%,38.3%,54.1%,41.1%
Monte Carlo Masters,13,Clay,21,8,13,38.1%,5,1,4,20.0%,2003,2018,R16,21,0.91,3.4%,4.3%,67.7%,61.8%,46.3%,56.8%,39.2%,54.0%,44.4%
Queen's Club,12,Grass,24,12,12,50.0%,9,4,5,44.4%,2004,2018,R16,24,1.03,11.1%,4.3%,65.0%,74.4%,52.1%,66.6%,34.3%,59.8%,33.6%
Cincinnati Masters,11,Hard,28,16,12,57.1%,9,5,4,55.6%,2006,2017,SF,26,0.99,9.1%,4.9%,62.5%,71.9%,47.5%,62.7%,37.0%,52.7%,42.2%
Marseille,11,Hard,27,16,11,59.3%,10,7,3,70.0%,2005,2018,F,27,1.06,11.4%,3.7%,62.5%,74.0%,53.7%,66.4%,35.5%,67.9%,45.7%
Miami Masters,10,Hard,22,12,10,54.5%,7,3,4,42.9%,2004,2014,R16,22,0.98,6.0%,4.5%,59.6%,70.3%,52.1%,62.9%,36.5%,56.4%,40.3%
