Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Pedro Sousa [POR],5,4,55.6%,1,0,1,0.0%,2009,2021,5,1.06,1.7%,5.7%,56.4%,69.7%,46.4%,59.5%,42.7%,56.8%,47.4%
9,Filippo Volandri [ITA],2,7,22.2%,3,2,1,66.7%,2010,2015,9,0.82,1.8%,6.4%,60.9%,60.8%,39.1%,52.3%,39.2%,50.0%,35.5%
7,Marco Cecchinato [ITA],0,7,0.0%,4,1,3,25.0%,2013,2024,7,0.91,3.9%,5.5%,65.8%,66.8%,48.7%,60.6%,35.6%,63.6%,28.3%
7,Jozef Kovalik [SVK],4,3,57.1%,3,2,1,66.7%,2013,2022,7,0.96,2.3%,4.7%,63.6%,65.9%,48.7%,59.6%,38.9%,56.0%,32.2%
7,Federico Gaio [ITA],1,6,14.3%,5,0,5,0.0%,2009,2020,4,1.02,3.6%,6.8%,62.5%,68.6%,55.2%,63.6%,37.1%,71.4%,40.0%
7,Matteo Viola [ITA],3,4,42.9%,1,1,0,100.0%,2009,2018,5,1.00,4.4%,6.1%,58.7%,65.7%,47.1%,58.0%,41.8%,67.8%,42.5%
7,Daniele Giorgini [ITA],2,5,28.6%,4,1,3,25.0%,2007,2013,0,,,,,,,,,,
6,Marco Trungelliti [ARG],3,3,50.0%,2,1,1,50.0%,2014,2023,6,1.07,3.9%,3.9%,63.4%,68.1%,49.3%,61.2%,41.3%,55.9%,36.0%
6,Salvatore Caruso [ITA],4,2,66.7%,2,2,0,100.0%,2014,2022,6,1.26,4.9%,4.3%,67.0%,69.7%,58.3%,65.9%,42.9%,53.8%,34.0%
6,Guido Andreozzi [ARG],4,2,66.7%,1,1,0,100.0%,2014,2021,6,0.89,4.7%,3.3%,63.1%,63.4%,49.7%,58.4%,37.3%,50.0%,37.1%
5,Gianluca Mager [ITA],2,3,40.0%,2,2,0,100.0%,2016,2024,5,0.97,4.7%,4.1%,61.7%,66.8%,50.4%,60.5%,38.3%,51.7%,44.0%
5,Albert Ramos [ESP],0,5,0.0%,1,0,1,0.0%,2011,2023,5,0.75,2.2%,2.5%,66.3%,49.1%,47.2%,48.4%,38.6%,54.9%,50.0%
5,Maxime Janvier [FRA],4,1,80.0%,0,0,0,-,2018,2023,5,1.14,2.3%,3.8%,65.9%,64.3%,48.5%,58.9%,46.9%,55.3%,53.5%
5,Mikhail Kukushkin [KAZ],3,2,60.0%,1,0,1,0.0%,2013,2023,5,0.92,4.6%,4.6%,60.3%,70.1%,44.6%,60.0%,36.8%,56.4%,35.1%
5,Andrej Martin [SVK],3,2,60.0%,3,1,2,33.3%,2013,2022,5,0.96,1.1%,4.2%,62.4%,60.1%,53.8%,57.8%,40.7%,58.5%,41.5%
