Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,13,9,4,69.2%,10,4,6,40.0%,2023,2026,R64,13,1.08,8.8%,2.7%,66.7%,72.7%,51.8%,65.7%,36.9%,71.3%,35.1%
Roland Garros,3,Clay,6,3,3,50.0%,3,1,2,33.3%,2023,2025,Q3,6,1.05,4.2%,5.0%,71.6%,69.0%,48.9%,63.3%,38.7%,65.9%,28.8%
Wimbledon,4,Grass,11,7,4,63.6%,9,6,3,66.7%,2022,2025,R128,11,1.21,8.6%,3.8%,68.2%,74.9%,57.1%,69.3%,37.3%,59.6%,32.9%
US Open,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2023,2025,Q3,5,1.02,9.2%,5.2%,64.9%,72.0%,44.7%,62.5%,38.3%,50.0%,41.9%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2021,2021,R64,0,,,,,,,,,,
Davis Cup,3,,7,1,6,14.3%,7,2,5,28.6%,2023,2025,,4,0.90,10.4%,4.2%,65.3%,73.9%,46.0%,64.2%,32.2%,61.5%,38.5%
Miami Masters,3,Hard,6,3,3,50.0%,6,3,3,50.0%,2023,2025,R128,6,1.12,6.7%,3.2%,66.7%,73.5%,51.9%,66.3%,37.8%,63.6%,32.6%
Indian Wells Masters,2,Hard,5,3,2,60.0%,3,1,2,33.3%,2024,2025,R64,5,1.05,4.5%,5.2%,55.7%,69.4%,51.9%,61.6%,40.4%,59.4%,35.6%
Marseille,2,Hard,5,3,2,60.0%,3,2,1,66.7%,2023,2025,R32,5,1.24,10.5%,2.4%,64.1%,73.0%,56.4%,67.0%,40.9%,55.6%,34.0%
Brisbane,1,Hard,5,3,2,60.0%,2,2,0,100.0%,2024,2024,R16,5,1.08,7.7%,2.5%,64.9%,78.5%,52.5%,69.4%,33.1%,63.6%,25.0%
Kitzbuhel,2,Clay,4,2,2,50.0%,2,1,1,50.0%,2022,2024,R32,4,1.09,6.5%,3.8%,63.9%,71.0%,46.7%,62.2%,41.3%,81.6%,41.4%
Madrid Masters,2,Clay,5,3,2,60.0%,3,3,0,100.0%,2023,2024,R64,5,1.08,4.3%,4.1%,68.3%,74.0%,48.8%,66.0%,36.8%,73.3%,24.4%
