Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2006,130,219,55,1800,48,1753,72,1654,37,1694,,,,
2005,52,652,45,1858,37,1805,61,1713,32,1714,,,,
2004,26,1149,31,1912,27,1846,51,1741,24,1761,,,,
2003,61,575,47,1828,50,1756,77,1676,35,1709,,,,
2002,39,871,29,1911,28,1843,49,1771,33,1706,,,,
2001,48,654,35,1874,27,1827,50,1741,45,1654,,,,
2000,20,1254,18,1990,15,1940,49,1768,38,1706,,,,
1999,19,1299,21,1997,21,1919,36,1819,43,1706,,,,
1998,42,630,36,1903,34,1823,,,41,1676,,,,
1997,37,685,37,1894,33,1837,65,1713,37,1694,,,,
1996,33,773,44,1885,24,1869,71,1719,40,1707,,,,
1995,18,66,19,1996,15,1946,38,1788,32,1729,,,,
1994,16,72,23,1979,18,1931,52,1759,35,1732,,,,
1993,39,37,47,1869,44,1791,,,,,,,,
1992,19,54,26,1963,25,1884,35,1798,18,1817,,,,
1991,28,36,24,1916,23,1824,,,18,1782,,,,
1990,16,64,19,1950,20,1842,,,23,1750,,,,
1989,33,32,45,1816,32,1770,125,1595,61,1627,,,,
1988,58,15,60,1760,62,1660,116,1575,77,1576,,,,
1987,147,5,164,1566,145,1516,155,1507,142,1477,,,,
