Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,495,305,190,61.6%,630-447,58.5%,5193-4511,53.5%,60-46,56.6%,23,-,-,1.9%,9.7%,58.2%,60.6%,44.0%,53.7%,46.8%,50.2%,1.01
Clay,82,38,44,46.3%,84-101,45.4%,793-871,47.7%,8-6,57.1%,6,-,-,0.4%,10.1%,59.5%,54.8%,34.6%,46.6%,43.6%,45.1%,0.82
Grass,66,32,34,48.5%,67-71,48.6%,629-654,49.0%,6-5,54.5%,5,-,-,2.5%,11.7%,61.2%,61.0%,41.0%,53.2%,40.8%,47.3%,0.87
Carpet,82,42,40,51.2%,92-84,52.3%,802-779,50.7%,7-8,46.7%,0,,,,,,,,,,,
Grand Slams,144,73,71,50.7%,160-160,50.0%,1451-1444,50.1%,11-9,55.0%,22,-,-,1.7%,10.0%,60.7%,58.7%,41.6%,52.0%,45.4%,48.7%,0.95
Premiers,125,62,63,49.6%,138-146,48.6%,1293-1359,48.8%,15-13,53.6%,4,-,-,1.2%,13.0%,55.9%,50.0%,37.5%,44.5%,43.0%,43.8%,0.78
Internationals,64,40,24,62.5%,89-62,58.9%,761-643,54.2%,7-10,41.2%,8,-,-,1.9%,9.1%,54.7%,67.6%,44.7%,57.2%,45.9%,51.6%,1.07
Finals,15,8,7,53.3%,19-16,54.3%,171-159,51.8%,1-0,100.0%,0,,,,,,,,,,,
Semi-finals,47,15,32,31.9%,37-65,36.3%,416-511,44.9%,2-6,25.0%,1,-,-,0.0%,13.1%,50.8%,51.6%,40.0%,45.9%,25.0%,37.6%,0.46
Quarter-finals,91,46,45,50.5%,96-100,49.0%,886-893,49.8%,13-13,50.0%,2,-,-,0.7%,10.5%,53.9%,67.1%,40.0%,54.6%,39.3%,47.0%,0.87
vs Righties,554,299,255,54.0%,631-586,51.8%,5601-5460,50.6%,67-49,57.8%,33,-,-,1.8%,10.1%,59.1%,59.8%,42.4%,52.7%,45.3%,49.0%,0.96
vs Lefties,49,25,24,51.0%,58-51,53.2%,499-482,50.9%,2-5,28.6%,1,-,-,0.0%,8.9%,53.2%,52.4%,27.0%,40.5%,44.3%,42.3%,0.74
vs Top 10,108,27,81,25.0%,63-170,27.0%,812-1239,39.6%,5-10,33.3%,5,-,-,1.4%,11.3%,59.9%,55.8%,38.6%,48.9%,41.9%,45.5%,0.82
