Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Conchita Martinez [ESP],4,8,33.3%,2,1,1,50.0%,1990,2003,0,,,,,,,,,,
10,Lindsay Davenport [USA],0,10,0.0%,0,0,0,-,1994,2004,0,,,,,,,,,,
10,Monica Seles [USA],1,9,10.0%,1,0,1,0.0%,1988,2002,0,,,,,,,,,,
10,Nathalie Tauziat [FRA],4,6,40.0%,3,2,1,66.7%,1990,2001,0,,,,,,,,,,
8,Anke Huber [GER],6,2,75.0%,2,2,0,100.0%,1993,2000,0,,,,,,,,,,
7,Nathalie Dechy [FRA],4,3,57.1%,0,0,0,-,1999,2005,0,,,,,,,,,,
7,Barbara Schett [AUT],4,3,57.1%,1,1,0,100.0%,1995,2004,0,,,,,,,,,,
7,Elena Likhovtseva [RUS],3,4,42.9%,2,0,2,0.0%,1995,2004,0,,,,,,,,,,
7,Chanda Rubin [USA],2,5,28.6%,1,0,1,0.0%,1992,2003,1,0.81,3.2%,12.7%,60.3%,57.9%,28.0%,46.0%,43.5%,33.3%,66.7%
7,Martina Hingis [SUI],1,6,14.3%,2,1,1,50.0%,1995,2001,0,,,,,,,,,,
7,Arantxa Sanchez Vicario [ESP],4,3,57.1%,0,0,0,-,1991,2001,0,,,,,,,,,,
7,Mary Pierce [FRA],4,3,57.1%,4,3,1,75.0%,1993,2001,0,,,,,,,,,,
7,Steffi Graf [GER],1,6,14.3%,0,0,0,-,1991,1999,0,,,,,,,,,,
7,Mary Joe Fernandez [USA],2,5,28.6%,2,0,2,0.0%,1990,1999,0,,,,,,,,,,
7,Tami Whitlinger Jones [USA],5,2,71.4%,1,0,1,0.0%,1990,1996,0,,,,,,,,,,
