Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2008,1300,3,,,,,,,,,,,,
2007,935,10,,,,,,,,,,,,
2006,1265,3,,,,,,,,,868,26,,
2005,,,,,,,,,,,892,22,,
2004,1197,3,,,,,,,,,905,24,,
2003,,,,,,,,,,,1269,8,,
2002,593,28,,,,,,,,,640,44,,
2001,277,120,227,1520,203,1493,191,1503,159,1500,710,37,,
2000,157,249,196,1562,149,1558,206,1496,,,406,96,,
1999,103,456,129,1667,93,1670,165,1566,98,1574,1357,1,,
1998,89,563,107,1705,88,1671,133,1615,,,1306,2,,
1997,85,542,95,1744,83,1702,145,1593,67,1633,491,82,,
1996,114,426,98,1748,83,1704,173,1555,58,1666,297,177,,
1995,97,,121,1718,64,1741,223,1499,80,1624,,,,
1994,193,,220,1551,251,1435,268,1395,102,1583,817,21,,
1993,714,,,,,,,,,,466,68,,
