Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 ITF Lisbon F,L vs Waltert,0.0%,-,8.8%,30.0%,6.9%,0.0%,0.0%,3.3%,4.5%,0.7%,0.0%,-125,-123
2025 US Open Q2,W vs Klimovicova,0.0%,-,5.9%,55.6%,16.6%,25.0%,14.3%,3.8%,10.0%,0.3%,0.0%,-66,-57
2023 US Open Q1,W vs Hovde,0.0%,-,9.2%,77.8%,9.8%,21.4%,5.0%,1.5%,0.0%,0.4%,0.0%,-150,-130
2022 BJK Cup Qualifiers RR,L vs Fernandez,0.0%,-,7.2%,16.7%,15.9%,25.0%,100.0%,0.0%,0.0%,1.7%,0.0%,-16,-43
Last 52 Weeks (2 matches),,0.0%,-,7.2%,42.1%,13.0%,15.1%,10.8%,3.5%,6.3%,0.5%,0.0%,-95,-88
Career (4 matches),,0.0%,-,7.6%,47.1%,12.4%,17.7%,10.3%,2.7%,4.7%,0.6%,0.0%,-99,-92
