Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,256,118,138,46.1%,277-320,46.4%,2780-2896,49.0%,29-35,45.3%,236,71.3%,29.1%,5.6%,5.1%,59.4%,66.4%,46.8%,58.4%,40.8%,49.5%,0.98
Clay,140,77,63,55.0%,171-150,53.3%,1576-1497,51.3%,21-16,56.8%,135,68.6%,33.5%,3.8%,4.2%,62.4%,63.8%,48.2%,57.9%,42.9%,50.4%,1.02
Grass,45,24,21,53.3%,53-53,50.0%,508-519,49.5%,8-6,57.1%,43,75.7%,23.9%,6.4%,4.8%,59.9%,68.6%,48.2%,60.5%,39.4%,49.9%,1.00
Carpet,4,2,2,50.0%,4-5,44.4%,40-48,45.5%,0-0,-,4,-,-,6.3%,2.5%,68.4%,62.0%,51.0%,58.5%,37.8%,48.7%,0.91
Grand Slams,106,53,53,50.0%,120-124,49.2%,1143-1161,49.6%,13-14,48.1%,103,70.7%,31.8%,5.0%,4.8%,60.7%,66.3%,46.3%,58.4%,41.8%,50.0%,1.01
Premiers,111,51,60,45.9%,122-141,46.4%,1223-1283,48.8%,14-17,45.2%,110,72.1%,28.8%,5.5%,4.8%,60.1%,66.2%,47.9%,58.9%,40.4%,49.6%,0.98
Internationals,151,79,72,52.3%,178-175,50.4%,1706-1679,50.4%,22-18,55.0%,140,70.4%,29.0%,5.4%,4.9%,60.5%,64.9%,47.9%,58.2%,41.7%,49.9%,1.00
Finals,6,2,4,33.3%,5-8,38.5%,53-63,45.7%,0-1,0.0%,6,57.4%,31.3%,5.2%,3.9%,59.8%,58.0%,48.4%,54.1%,41.7%,47.7%,0.91
Semi-finals,15,6,9,40.0%,13-19,40.6%,142-158,47.3%,1-3,25.0%,14,70.0%,25.9%,5.3%,4.3%,61.6%,64.1%,46.2%,57.2%,39.8%,48.7%,0.93
Quarter-finals,38,15,23,39.5%,37-53,41.1%,411-481,46.1%,9-5,64.3%,38,65.2%,27.8%,5.0%,4.3%,63.2%,61.9%,45.2%,55.8%,40.4%,48.0%,0.91
vs Righties,407,201,206,49.4%,460-489,48.5%,4485-4564,49.6%,52-54,49.1%,381,70.6%,30.2%,5.0%,4.8%,60.7%,65.6%,47.3%,58.4%,41.2%,49.7%,0.99
vs Lefties,32,14,18,43.8%,33-39,45.8%,344-367,48.4%,5-3,62.5%,31,72.9%,24.3%,5.1%,5.1%,59.0%,65.8%,47.8%,58.4%,40.2%,49.4%,0.97
vs Top 10,48,8,40,16.7%,22-83,21.0%,390-588,39.9%,2-9,18.2%,46,65.4%,20.1%,5.1%,4.4%,61.0%,62.6%,42.8%,54.9%,36.9%,46.0%,0.82
