Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 US Open R128,L vs Bouzas Maneiro,14% (1/7),100% (1/1),1/4,75% (6/8),0% (0/6),1/1,0/0,0/2,0/0,0/1
2024 Wimbledon R64,L vs Swiatek,0% (0/10),- (0/0),0/1,22% (2/9),0% (0/2),0/0,0/0,0/1,0/0,0/0
2024 Wimbledon R128,W vs Jones,50% (6/12),83% (5/6),0/2,50% (6/12),67% (4/6),5/5,2/2,0/0,1/1,0/0
2023 US Open R64,L vs Bouzkova,38% (3/8),33% (1/3),1/5,86% (6/7),17% (1/6),0/1,0/0,1/1,0/0,1/1
2023 US Open R128,W vs Maria,63% (5/8),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2023 Montreal R32,L vs Sabalenka,27% (3/11),67% (2/3),1/3,40% (4/10),25% (1/4),1/2,0/1,1/1,0/0,0/0
2023 Wimbledon R32,L vs Swiatek,40% (4/10),50% (2/4),1/5,80% (8/10),38% (3/8),0/2,0/0,1/1,0/0,1/1
2023 Wimbledon R64,W vs Parry,50% (7/14),43% (3/7),0/1,29% (4/14),75% (3/4),2/2,1/1,0/0,0/0,0/0
2023 Roland Garros R64,L vs Sorribes Tormo,63% (5/8),80% (4/5),3/7,89% (8/9),0% (0/8),0/4,0/0,0/1,0/0,0/1
2023 Roland Garros R128,W vs Rogers,54% (7/13),71% (5/7),2/3,31% (4/13),25% (1/4),5/5,2/2,0/0,1/1,0/0
2023 Madrid QF,L vs Swiatek,13% (1/8),0% (0/1),0/3,57% (4/7),0% (0/4),0/0,0/0,1/2,0/0,1/1
2023 Madrid R32,W vs Kalinskaya,21% (3/14),100% (3/3),0/0,14% (2/14),50% (1/2),2/2,1/1,0/1,0/0,0/0
2023 Miami R32,L vs Mertens,44% (4/9),50% (2/4),1/4,50% (5/10),0% (0/5),0/2,0/0,1/2,0/0,1/2
2023 Linz F,L vs Potapova,25% (2/8),50% (1/2),0/4,63% (5/8),0% (0/5),1/1,0/0,0/1,0/0,0/1
2022 Tokyo QF,L vs Zhang,40% (4/10),50% (2/4),1/3,50% (5/10),0% (0/5),1/2,0/0,2/4,0/0,1/2
2022 US Open R32,L vs Azarenka,25% (2/8),50% (1/2),1/5,71% (5/7),0% (0/5),1/1,0/0,1/1,0/0,0/0
2022 US Open R64,W vs Badosa,46% (6/13),67% (4/6),0/0,29% (4/14),100% (4/4),4/4,2/2,2/2,1/1,0/0
2022 US Open R128,W vs Gracheva,45% (5/11),60% (3/5),0/2,36% (4/11),50% (2/4),3/3,1/1,4/4,0/0,0/0
2022 Lausanne F,W vs Danilovic,56% (5/9),80% (4/5),0/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2022 Wimbledon R16,L vs Rybakina,18% (2/11),100% (2/2),0/3,40% (4/10),0% (0/4),1/2,0/0,2/3,0/0,1/1
2024 (3 matches),,24.1%,85.7%,14.3%,48.3%,28.6%,100.0%,100.0%,0.0%,100.0%,0.0%
2023 (11 matches),,39.6%,63.6%,25.7%,45.9%,20.0%,60.0%,83.3%,50.0%,100.0%,57.1%
2022 (11 matches),,40.9%,64.4%,19.2%,37.0%,22.5%,82.1%,77.8%,77.8%,50.0%,75.0%
2021 (10 matches),,42.6%,74.5%,35.0%,46.5%,21.7%,63.2%,46.2%,66.7%,60.0%,85.7%
2020 (8 matches),,45.5%,63.0%,31.6%,41.2%,45.2%,88.5%,70.0%,75.0%,75.0%,0.0%
Career (243 matches),,44.5%,72.3%,29.9%,43.1%,28.8%,70.6%,77.0%,67.5%,75.3%,72.6%
