Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,4,2,2,50.0%,5-5,50.0%,47-44,51.6%,0-0,-,3,76.3%,15.8%,8.6%,3.4%,60.1%,73.6%,45.2%,62.2%,35.1%,48.4%,0.93
Clay,7,2,5,28.6%,6-10,37.5%,70-82,46.1%,0-0,-,7,74.7%,18.2%,4.6%,3.6%,58.4%,68.7%,48.3%,60.2%,34.7%,48.1%,0.87
Grass,1,0,1,0.0%,1-3,25.0%,20-24,45.5%,0-1,0.0%,1,72.7%,18.2%,0.6%,5.6%,58.1%,67.7%,41.8%,56.9%,34.6%,46.6%,0.80
Grand Slams,2,0,2,0.0%,2-6,25.0%,36-45,44.4%,0-1,0.0%,2,75.0%,14.6%,4.0%,5.1%,57.6%,70.4%,43.6%,59.1%,34.5%,47.0%,0.84
Other Tours,9,3,6,33.3%,8-12,40.0%,89-102,46.6%,0-0,-,9,74.7%,18.8%,5.3%,3.4%,59.4%,69.6%,47.6%,60.6%,35.0%,48.4%,0.89
Best of 5,2,0,2,0.0%,2-6,25.0%,36-45,44.4%,0-1,0.0%,2,75.0%,14.6%,4.0%,5.1%,57.6%,70.4%,43.6%,59.1%,34.5%,47.0%,0.84
Best of 3,10,4,6,40.0%,10-12,45.5%,101-105,49.0%,0-0,-,9,74.7%,18.8%,5.3%,3.4%,59.4%,69.6%,47.6%,60.6%,35.0%,48.4%,0.89
vs Righties,11,3,8,27.3%,10-18,35.7%,125-147,46.0%,0-1,0.0%,11,74.8%,17.5%,4.9%,3.9%,58.8%,69.8%,46.3%,60.2%,34.8%,47.9%,0.87
vs Lefties,1,1,0,100.0%,2-0,100.0%,12-3,80.0%,0-0,-,0,,,,,,,,,,,
vs Top 10,2,0,2,0.0%,2-6,25.0%,36-45,44.4%,0-1,0.0%,2,75.0%,14.6%,4.0%,5.1%,57.6%,70.4%,43.6%,59.1%,34.5%,47.0%,0.84
