Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),571,67,232,1528,259,1454,159,1557,,,,,,
2025,498,86,219,1541,254,1466,155,1564,,,,,,
2024,118,513,164,1605,231,1477,96,1654,150,1506,653,71,,
2023,221,286,234,1515,214,1478,199,1495,170,1469,,,,
2022,169,335,194,1559,193,1504,183,1519,122,1543,,,,
2021,276,207,244,1493,289,1385,178,1517,,,,,,
2020,299,164,,,,,,,,,765,43,,
2019,369,101,410,1324,397,1294,393,1268,,,594,59,,
2018,620,3,,,,,,,,,505,33,,
2017,1058,8,,,,,,,,,987,29,,
2016,1095,8,,,,,,,,,,,,
2015,1784,1,,,,,,,,,,,,
2014,1574,2,,,,,,,,,,,,
2013,656,38,,,,,,,,,1353,12,,
2012,1115,6,,,,,,,,,,,,
2011,1505,2,,,,,,,,,,,,
2010,1432,1,,,,,,,,,,,,
