Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Ilkley CH R64,L vs Lacko,0.75,0.68,43.7,2.1,-,66.7%,-,61.5%,30.3%,34.5%
2019 Leon CH R16,L vs Arevalo,0.89,0.70,52.5,2.1,-,54.5%,-,62.5%,28.6%,37.5%
2019 San Luis Potosi CH SF,W vs Mena,1.07,1.22,71.8,9.0,-,62.5%,-,64.6%,35.8%,48.9%
2019 San Luis Potosi CH R16,W vs Seyboth Wild,1.48,2.01,34.9,2.2,-,72.4%,-,69.2%,42.3%,36.4%
2019 Marrakech Q2,W vs Benchetrit,1.15,1.38,58.3,2.4,-,64.3%,-,77.8%,30.8%,40.5%
2019 Delray Beach Q2,L vs Smyczek,0.87,0.68,52.1,2.7,-,51.5%,-,66.7%,37.5%,25.9%
2019 Montpellier R32,L vs Chardy,0.65,0.18,21.9,2.1,-,52.2%,-,22.2%,21.1%,12.5%
2019 Quimper CH R32,W vs Jacq,1.00,1.51,49.4,2.0,-,63.2%,-,75.0%,52.9%,40.0%
2018 Recanati CH F,L vs Brands,0.83,0.54,45.1,2.2,16.1%,64.5%,25.9%,66.7%,25.0%,19.2%
2017 Ningbo CH R16,L vs Thompson,0.78,0.67,49.6,2.4,11.1%,77.8%,20.0%,56.0%,36.4%,19.4%
2014 Segovia CH F,L vs Mannarino,1.02,0.47,40.1,2.4,8.7%,47.8%,0.0%,38.1%,38.1%,14.3%
2014 Recanati CH QF,L vs Fucsovics,0.84,0.44,35.2,2.2,3.8%,53.8%,24.0%,56.0%,29.2%,17.4%
2013 Rome2 CH R32,L vs Volandri,1.11,0.41,35.4,2.0,0.0%,22.7%,5.0%,55.0%,19.0%,27.8%
2012 Marrakech CH SF,L vs Ungur,0.93,0.59,41.2,2.2,0.0%,51.7%,13.8%,48.3%,26.7%,37.0%
2012 Rabat CH R16,L vs Volandri,0.82,0.46,32.5,2.4,0.0%,52.0%,12.5%,50.0%,30.8%,24.0%
2011 Orleans CH QF,L vs Clement,0.69,0.48,32.5,2.1,7.4%,63.0%,13.0%,52.2%,27.6%,30.8%
2019 (8 matches),,1.00,0.98,51.6,2.5,-,61.2%,-,65.1%,35.4%,37.0%
2018 (1 matches),,0.83,0.54,45.1,2.2,16.1%,64.5%,25.9%,66.7%,25.0%,19.2%
2017 (1 matches),,0.78,0.67,49.6,2.4,11.1%,77.8%,20.0%,56.0%,36.4%,19.4%
2014 (2 matches),,0.92,0.45,37.5,2.3,6.1%,51.0%,13.0%,47.8%,33.3%,15.9%
2013 (1 matches),,1.11,0.41,35.4,2.0,0.0%,22.7%,5.0%,55.0%,19.0%,27.8%
Career (16 matches),,0.94,0.74,46.2,2.3,6.2%,58.6%,14.9%,59.9%,32.6%,31.0%
