Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,4,1,3,25.0%,3-7,30.0%,38-49,43.7%,0-1,0.0%,4,65.1%,23.3%,5.8%,4.0%,58.0%,66.0%,46.1%,57.7%,36.5%,47.0%,0.86,R16 (Marrakech)
2018,6,2,4,33.3%,6-9,40.0%,64-84,43.2%,3-1,75.0%,6,70.4%,15.1%,4.3%,2.3%,64.2%,65.1%,45.9%,58.2%,34.8%,47.3%,0.83,QF (New York)
2017,6,2,4,33.3%,7-9,43.8%,73-84,46.5%,3-2,60.0%,6,73.3%,18.2%,6.2%,2.1%,61.0%,69.8%,49.7%,62.0%,34.8%,48.3%,0.92,R16 (Newport)
2015,5,1,4,20.0%,5-9,35.7%,65-80,44.8%,2-1,66.7%,5,75.7%,13.9%,6.7%,3.5%,58.1%,69.8%,52.9%,62.7%,30.8%,47.1%,0.83,R16 (Bogota)
2013,2,0,2,0.0%,1-5,16.7%,18-37,32.7%,1-1,50.0%,2,61.5%,3.7%,6.5%,2.7%,61.4%,60.2%,42.3%,53.3%,29.0%,41.9%,0.62,R32 (Montpellier)
2012,1,0,1,0.0%,0-3,0.0%,10-19,34.5%,0-1,0.0%,1,64.3%,7.1%,2.0%,5.1%,57.6%,61.4%,45.2%,54.5%,27.3%,41.7%,0.60,R128 (Wimbledon)
Career,24,6,18,25.0%,22-42,34.4%,268-353,43.2%,9-7,56.3%,24,70.6%,15.4%,5.6%,2.9%,60.6%,66.7%,48.2%,59.4%,33.3%,46.7%,0.82,
